dataset,method,budget,utility,capture,spearman,remaining_relative_error
Frangieh,magnitude,0.3,0.5462386506648685,0.3860479340433792,0.5170162842367677,0.9545476845399447
Frangieh,ridge_M,0.1,0.5340460269961582,0.18276443930317698,0.5170162842367677,0.9757778566739626
Frangieh,ridge_M,0.2,0.5530099218094037,0.2676224245003971,0.5170162842367677,0.9641871208960177
Frangieh,ridge_M,0.3,0.5462386506648685,0.3860479340433792,0.5170162842367677,0.9545476845399447
Frangieh,ridge_MD,0.1,0.5512095771854517,0.18369835718497388,0.5238737138769233,0.97463729007964
Frangieh,ridge_MD,0.2,0.5692869117395282,0.2682853907326369,0.5238737138769233,0.9633274472820826
Frangieh,ridge_MD,0.3,0.5497471676805994,0.38640236296308167,0.5238737138769233,0.9540184569014477
Frangieh,ridge_MDH,0.1,0.5521190685029975,0.18379749645813556,0.524199572708073,0.9745215850742152
Frangieh,ridge_MDH,0.2,0.5695476047492565,0.2683177274815813,0.524199572708073,0.9632881409027569
Frangieh,ridge_MDH,0.3,0.5485028039211979,0.3863436567724359,0.524199572708073,0.9541168420059273
Frangieh,ridge_MDH_condition,0.1,0.5440133930328691,0.18356931352711786,0.5251792138303872,0.974812634356748
Frangieh,ridge_MDH_condition,0.2,0.5615812295870515,0.26801344248123604,0.5251792138303872,0.9636707673303017
Frangieh,ridge_MDH_condition,0.3,0.5513613864224794,0.38655180874394646,0.5251792138303872,0.9537623567863421
Frangieh,tree_direct_M,0.1,0.5280042780241806,0.18306651828369874,0.4960622567539489,0.9754627193034013
Frangieh,tree_direct_M,0.2,0.5413319860591207,0.2668142029845791,0.4960622567539489,0.9652425401589932
Frangieh,tree_direct_M,0.3,0.525528507810363,0.38425711346397023,0.4960622567539489,0.9576028124014115
Frangieh,tree_direct_MD,0.1,0.5345789587011408,0.18341955375090707,0.5009953826330626,0.9750684184501773
Frangieh,tree_direct_MD,0.2,0.5451457298615066,0.267071262252719,0.5009953826330626,0.9649089719509816
Frangieh,tree_direct_MD,0.3,0.5230199821908643,0.384627145758515,0.5009953826330626,0.9568757673738415
Frangieh,tree_direct_MDH,0.1,0.5415256896955533,0.1837361770818046,0.513520594383604,0.9745951150328422
Frangieh,tree_direct_MDH,0.2,0.5508587192823283,0.2673140922452121,0.513520594383604,0.9645015536743992
Frangieh,tree_direct_MDH,0.3,0.5343132869903713,0.3852049354149718,0.513520594383604,0.955943434370606
Frangieh,tree_direct_MDH_condition,0.1,0.547009359087707,0.1839897888711934,0.5218816612797382,0.9740304330427867
Frangieh,tree_direct_MDH_condition,0.2,0.5672917527703935,0.2680757020178407,0.5218816612797382,0.9633143536627126
Frangieh,tree_direct_MDH_condition,0.3,0.5370387890908523,0.3853993194823749,0.5218816612797382,0.9554694278645859
Frangieh,tree_residual_M,0.1,0.5391936220281328,0.1832388506381916,0.5166865814807424,0.9752156185939185
Frangieh,tree_residual_M,0.2,0.5556474918549789,0.2679228089498308,0.5166865814807424,0.9638006348616582
Frangieh,tree_residual_M,0.3,0.5474289146585406,0.38616618382749407,0.5166865814807424,0.9543661274046051
Frangieh,tree_residual_MD,0.1,0.5553446306675439,0.1840851369804814,0.5247585662169356,0.9741601560814245
Frangieh,tree_residual_MD,0.2,0.5730092408936862,0.26875188449730775,0.5247585662169356,0.9627282548906942
Frangieh,tree_residual_MD,0.3,0.5507750137633566,0.3862778586079109,0.5247585662169356,0.9543309306936008
