dataset,replicate,formula,delta_spearman_vs_magnitude
Frangieh,113,one_sided_025,0.00816127513597606
Frangieh,113,setting_adaptive_lodo,0.013243302656208766
Frangieh,114,one_sided_025,0.01282753495154082
Frangieh,114,setting_adaptive_lodo,0.025540640841721363
Frangieh,115,one_sided_025,0.01391156216469161
Frangieh,115,setting_adaptive_lodo,0.031546035894841534
Frangieh,116,one_sided_025,0.012222885114272608
Frangieh,116,setting_adaptive_lodo,0.020805021713985627
Frangieh,117,one_sided_025,0.01365020205787311
Frangieh,117,setting_adaptive_lodo,0.02812653849264328
Frangieh,118,one_sided_025,0.011723765549079862
Frangieh,118,setting_adaptive_lodo,0.013411077277393019
Frangieh,119,one_sided_025,0.01423603254462072
Frangieh,119,setting_adaptive_lodo,0.028206490784134647
Frangieh,120,one_sided_025,0.01271852617163527
Frangieh,120,setting_adaptive_lodo,0.03404470856302408
Frangieh,121,one_sided_025,0.01108304887977829
Frangieh,121,setting_adaptive_lodo,0.028343712913506014
Frangieh,122,one_sided_025,0.02086953090956735
Frangieh,122,setting_adaptive_lodo,0.047098219395719745
Frangieh,123,one_sided_025,0.017848784138036866
Frangieh,123,setting_adaptive_lodo,0.0294091779607851
Frangieh,124,one_sided_025,0.022262393858954677
Frangieh,124,setting_adaptive_lodo,0.04159325133299707
Frangieh,125,one_sided_025,0.014235978429714247
Frangieh,125,setting_adaptive_lodo,0.024327956248232294
Frangieh,126,one_sided_025,0.011652410330693308
Frangieh,126,setting_adaptive_lodo,0.026790245137279844
Frangieh,127,one_sided_025,0.015072929524444612
Frangieh,127,setting_adaptive_lodo,0.033088381916658666
Frangieh,128,one_sided_025,0.006423638098660506
Frangieh,128,setting_adaptive_lodo,0.018783937984717836
Frangieh,129,one_sided_025,0.011904625094938559
Frangieh,129,setting_adaptive_lodo,0.019831320297696645
Frangieh,130,one_sided_025,0.011773158019389801
Frangieh,130,setting_adaptive_lodo,0.025272683730945572
Frangieh,131,one_sided_025,0.01808487039214636
Frangieh,131,setting_adaptive_lodo,0.03200557574439443
Frangieh,132,one_sided_025,0.014045091110657229
