panel,task_id,n_cells,rmse_cell_gene,rmse_mean_profile,mae_cell_gene,magnitude_pred_rms,magnitude_truth_rms_diagnostic_only,epistemic_confidence,aleatoric_confidence,combined_confidence_official,risk_epistemic,risk_aleatoric,risk_combined,cosine_error_mean_effect,gene_order_hash
Norman_P2,HOXA13+ctrl,274,0.1933913975954055,0.1033954247832298,0.0982170701026916,0.0555068254470825,0.1540508270263672,16.48242950439453,-18.380760192871094,14.584098815917969,-16.48242950439453,18.380760192871094,-14.584098815917969,0.05728617551507231,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,NCL+ctrl,237,0.1413626670837402,0.0250764228403568,0.0708007663488388,0.0410472340881824,0.0282807406038045,14.639114379882812,-18.498859405517575,10.779369354248049,-14.639114379882812,18.498859405517575,-10.779369354248049,0.2006483643181336,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,RREB1+ctrl,331,0.1524658948183059,0.0545276552438735,0.0758236050605773,0.0143842017278075,0.0606437213718891,10.593194007873535,-17.814695358276367,3.371692657470703,-10.593194007873535,17.814695358276367,-3.371692657470703,0.4776515785297255,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,SAMD1+ctrl,498,0.1648188829421997,0.022585779428482,0.0833810567855835,0.0770437270402908,0.0851132869720459,19.14587783813477,-17.91457748413086,20.377178192138672,-19.14587783813477,17.91457748413086,-20.377178192138672,0.03393084960134918,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,SGK1+ctrl,483,0.1376361399888992,0.0273695141077041,0.0704490095376968,0.0711657926440239,0.0861228853464126,18.829179763793945,-17.902328491210938,19.756031036376957,-18.829179763793945,17.902328491210938,-19.756031036376957,0.04285972910129221,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,SLC38A2+ctrl,332,0.1354360282421112,0.0583649054169654,0.0709045529365539,0.0414461940526962,0.0273688472807407,14.717352867126465,-18.417680740356445,11.017024993896484,-14.717352867126465,18.417680740356445,-11.017024993896484,1.414172889630155,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,SLC4A1+ctrl,1000,0.1371454894542694,0.0417514033615589,0.0691796839237213,0.0231891777366399,0.0532983466982841,12.261595726013184,-18.30447006225586,6.218721389770508,-12.261595726013184,18.30447006225586,-6.218721389770508,0.3384525317621465,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,SLC6A9+ctrl,558,0.12879578769207,0.0284537933766841,0.0658619031310081,0.0483066588640213,0.0418138355016708,15.47708797454834,-18.764284133911133,12.189891815185549,-15.47708797454834,18.764284133911133,-12.189891815185549,0.1899764879092597,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,TBX3+ctrl,691,0.1412628889083862,0.0418291911482811,0.0718525499105453,0.0738022476434707,0.0534039735794067,18.769445419311523,-18.20974540710449,19.329145431518555,-18.769445419311523,18.20974540710449,-19.329145431518555,0.16918036003848191,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,TP73+ctrl,248,0.219721570611,0.120846964418888,0.1108472645282745,0.0739677026867866,0.1908423006534576,18.928556442260746,-17.629838943481445,20.22727394104004,-18.928556442260746,17.629838943481445,-20.22727394104004,0.03344811401229053,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,ZC3HAV1+ctrl,516,0.1397113054990768,0.0783024728298187,0.074037067592144,0.0644478052854538,0.0276830848306417,17.707595825195312,-18.25814437866211,17.157047271728516,-17.707595825195312,18.25814437866211,-17.157047271728516,1.3394974293633366,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
