panel,score,target,target_kind,coverage,n_retained,n_rejected,retained_mean,full_set_mean,raw_change_vs_full,favorable_change_vs_full
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.95,22,2,0.6186348183811018,0.6027864520364073,0.015848366344694442,0.015848366344694442
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,1.0,24,0,0.6027864520364073,0.6027864520364073,0.0,0.0
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.5,12,12,0.7397790054210125,0.6124827729094017,0.12729623251161082,0.12729623251161082
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.55,13,11,0.7368845526159686,0.6124827729094017,0.12440177970656696,0.12440177970656696
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.6,14,10,0.7246473062953686,0.6124827729094017,0.11216453338596688,0.11216453338596688
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.65,15,9,0.7303390723237649,0.6124827729094017,0.11785629941436326,0.11785629941436326
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.7,16,8,0.658807072722702,0.6124827729094017,0.04632429981330033,0.04632429981330033
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.75,18,6,0.6797533752425488,0.6124827729094017,0.06727060233314708,0.06727060233314708
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.8,19,5,0.6787951374934085,0.6124827729094017,0.0663123645840068,0.0663123645840068
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.85,20,4,0.664552266788715,0.6124827729094017,0.05206949387931337,0.05206949387931337
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.9,21,3,0.6623959002461405,0.6124827729094017,0.049913127336738805,0.049913127336738805
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,0.95,22,2,0.6294341074832647,0.6124827729094017,0.016951334573862997,0.016951334573862997
Norman_P2,combined_confidence,cosine_effect_accuracy,accuracy,1.0,24,0,0.6124827729094017,0.6124827729094017,0.0,0.0
