dataset_name,predictor_name,validation_mode,feature_set,score_name,top_fraction,enrichment,enrichment_ci_low,enrichment_ci_high,n,n_task_clusters
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.1,0.5932047750229569,0.0,2.6694214876033056,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.2,1.9876923076923079,1.2996449704142012,2.5992899408284025,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,full,lopo_full,0.05,2.235294117647059,0.0,5.588235294117648,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,full,lopo_full,0.1,0.8898071625344353,0.29660238751147844,2.676836547291086,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,full,lopo_full,0.2,2.0641420118343197,1.2996449704142012,2.752189349112426,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.05,2.235294117647059,0.0,5.588235294117648,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.1,0.8898071625344353,0.29660238751147844,2.9660238751147845,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.2,2.2934911242603553,1.5270828402366867,2.8305502958579862,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.05,1.1176470588235294,0.0,4.470588235294118,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.1,1.1864095500459138,0.5857897153351703,3.2626262626262625,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.2,3.1344378698224853,2.446390532544379,3.593136094674556,323,323
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,frozen_v0_2,0.05,4.1551246537396125,1.0387811634349031,8.310249307479225,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,frozen_v0_2,0.1,2.8566481994459836,1.5581717451523545,4.414819944598338,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,frozen_v0_2,0.2,1.8666666666666667,1.3333333333333333,2.2666666666666666,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,predicted_magnitude,0.05,7.271468144044321,4.1551246537396125,11.426592797783934,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,predicted_magnitude,0.1,4.674515235457063,3.376038781163435,5.9729916897506925,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,predicted_magnitude,0.2,3.2666666666666666,2.6666666666666665,3.601666666666665,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,random,0.05,0.0,0.0,0.0,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,random,0.1,0.0,0.0,0.7790858725761772,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,baseline,none,random,0.2,0.8666666666666667,0.4666666666666667,1.201666666666665,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.05,5.193905817174515,1.0387811634349031,8.310249307479225,375,375
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.1,3.376038781163435,2.3372576177285316,4.934210526315789,375,375
