dataset_name,predictor_name,validation_mode,feature_set,score_name,n,n_task_clusters,aligned_rho,partial_rho_control_magnitude,excess_aurc,aurc_reduction_vs_random_pct,top5_enrichment,top10_enrichment,top20_enrichment
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,323,323,0.3557913016338586,0.255006446622028,0.32283616182786795,43.01176051790272,1.1176470588235294,0.5932047750229569,1.1467455621301776
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,323,323,0.1581176451323441,0.19694950215257875,0.5781040592073596,18.395440299926577,0.0,0.0,0.7644970414201184
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,323,323,0.4611483474343012,0.32661507305556864,0.19521481621450948,55.31870527091667,3.3529411764705888,2.9660238751147845,2.5992899408284025
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,323,323,0.5307180192974493,0.36767914987232797,0.14275340681244464,60.3777309697405,4.470588235294118,4.745638200183655,3.2108875739644973
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,323,323,0.3962955181403132,0.31734659152946415,0.23841454887179464,51.15281342419624,0.0,0.29660238751147844,1.8347928994082843
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,323,323,0.6852699381303501,0.7310253579807451,0.4683544930214921,35.25689086851824,1.1176470588235294,0.8898071625344353,2.0641420118343197
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,323,323,0.7030595100994885,0.7406487277285843,0.43461805228133576,37.358521693034156,0.0,0.8898071625344353,2.0641420118343197
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,323,323,0.6672392239549007,0.6966517887663283,0.4637456083379826,35.54400396951509,0.0,0.5932047750229569,1.9876923076923079
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,full,lopo_full,323,323,0.8012603619841793,0.8192181181170888,0.30446738387568784,45.466331839914275,2.235294117647059,0.8898071625344353,2.0641420118343197
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,323,323,0.8498055444644018,0.8527229702454767,0.21600791639715777,50.97696483777688,2.235294117647059,0.8898071625344353,2.2934911242603553
