dataset_name,predictor_name,validation_mode,feature_set,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,2,158,2.834611177444458,3.2675139904022217,0.10270781737731612
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,3,158,3.270176410675049,8.537299156188965,0.06997175478141572
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,0,159,2.105267286300659,2.5118207931518555,0.8182628321711656
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,1,158,2.5121395587921143,2.8305065631866455,0.6896652965363235
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,2,158,2.834611177444458,3.2675139904022217,0.5201077647193699
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,3,158,3.270176410675049,8.537299156188965,0.3457981387610118
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,0,159,2.105267286300659,2.5118207931518555,0.9493492041420967
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,1,158,2.5121395587921143,2.8305065631866455,0.9261312380719974
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,2,158,2.834611177444458,3.2675139904022217,0.8776948867899091
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,3,158,3.270176410675049,8.537299156188965,0.872770670611522
Frangieh,PertMeanPredictor,baseline,none,random,0,159,2.105267286300659,2.5118207931518555,-0.02899011520825914
Frangieh,PertMeanPredictor,baseline,none,random,1,158,2.5121395587921143,2.8305065631866455,-0.034311592769885046
Frangieh,PertMeanPredictor,baseline,none,random,2,158,2.834611177444458,3.2675139904022217,0.031549018951658
Frangieh,PertMeanPredictor,baseline,none,random,3,158,3.270176410675049,8.537299156188965,0.013529928539680698
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0,159,2.105267286300659,2.5118207931518555,0.2005421754373768
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,1,158,2.5121395587921143,2.8305065631866455,0.2271729118371881
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,2,158,2.834611177444458,3.2675139904022217,0.5237334952200784
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,3,158,3.270176410675049,8.537299156188965,0.6623598893131192
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0,159,2.105267286300659,2.5118207931518555,-0.04041148199278739
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1,158,2.5121395587921143,2.8305065631866455,-0.1683569502319528
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,2,158,2.834611177444458,3.2675139904022217,0.021194120495397786
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,3,158,3.270176410675049,8.537299156188965,0.6527705309852027
