experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_2::random_missing_pair,family_rms_error,predicted_magnitude,0.1,480,48,0.2708333333333333,0.1,0.15957174049967596,0.11635066519370137,1.3714725243213681,0.2688376953451023,0.28344099339505363,
E189,support_2::random_missing_pair,family_rms_error,diversity_lower_bound,0.2,480,96,0.3541666666666667,0.2,0.1465407361706951,0.11635066519370137,1.2594748463769683,0.21466753854520007,0.3070690711355248,0.2747538923806943
E189,support_2::random_missing_pair,family_rms_error,predicted_magnitude,0.2,480,96,0.3333333333333333,0.2,0.14254929117167434,0.11635066519370137,1.2251695418703221,0.21466753854520007,0.2664713093988318,
E189,support_2::random_missing_pair,family_rms_error,diversity_lower_bound,0.3,480,144,0.4513888888888889,0.3,0.1396594059657786,0.11635066519370137,1.200331822196914,0.1869091006974427,0.33034662128869485,0.2715516827788942
E189,support_2::random_missing_pair,family_rms_error,predicted_magnitude,0.3,480,144,0.4166666666666667,0.3,0.1388080622821408,0.11635066519370137,1.1930147717767854,0.1869091006974427,0.3182808253628105,
E189,support_2::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.1,480,48,0.25,0.1,0.17339778207428513,0.1229628336607116,1.410164168408297,0.27606918812017334,0.3294112030270258,0.27950668471937196
E189,support_2::random_missing_pair,family_worst_error,predicted_magnitude,0.1,480,48,0.2708333333333333,0.1,0.1703087150174948,0.1229628336607116,1.3850422111076552,0.27606918812017334,0.30923524711914596,
E189,support_2::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.2,480,96,0.3541666666666667,0.2,0.152311461337405,0.1229628336607116,1.238678849559326,0.22143918657421047,0.2980271588903489,0.27939255228330434
E189,support_2::random_missing_pair,family_worst_error,predicted_magnitude,0.2,480,96,0.3333333333333333,0.2,0.1518747131309051,0.1229628336607116,1.2351269778799123,0.22143918657421047,0.2935921022135084,
E189,support_2::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.3,480,144,0.4097222222222222,0.3,0.14219326629522605,0.1229628336607116,1.1563922370850408,0.19367104997263046,0.27196885507169677,0.27735618527074796
E189,support_2::random_missing_pair,family_worst_error,predicted_magnitude,0.3,480,144,0.4305555555555556,0.3,0.14712778082884329,0.1229628336607116,1.196522367358656,0.19367104997263046,0.34175585849219536,
E189,support_2::unseen_context_row,family_rms_error,diversity_lower_bound,0.1,1440,144,0.14583333333333334,0.1,0.12679738028435217,0.11397871995290695,1.1124653824568442,0.22829905648359253,0.11212930892662708,0.32454368738217276
E189,support_2::unseen_context_row,family_rms_error,predicted_magnitude,0.1,1440,144,0.13194444444444445,0.1,0.12376973341837319,0.11397871995290695,1.085902118127942,0.22829905648359253,0.08564542200099418,
E189,support_2::unseen_context_row,family_rms_error,diversity_lower_bound,0.2,1440,288,0.22569444444444445,0.2,0.11677209461962483,0.11397871995290695,1.0245078613610683,0.19263330555906996,0.03551445405490765,0.32039261941962394
E189,support_2::unseen_context_row,family_rms_error,predicted_magnitude,0.2,1440,288,0.2222222222222222,0.2,0.11734540178063618,0.11397871995290695,1.0295378104712902,0.19263330555906996,0.042803376329344375,
E189,support_2::unseen_context_row,family_rms_error,diversity_lower_bound,0.3,1440,432,0.3148148148148148,0.3,0.1128685813085809,0.11397871995290695,0.9902601236021538,0.1719704614980056,-0.019143047177893804,0.31467025187990233
E189,support_2::unseen_context_row,family_rms_error,predicted_magnitude,0.3,1440,432,0.2916666666666667,0.3,0.11082094215713505,0.11397871995290695,0.9722950231668103,0.1719704614980056,-0.05445219804816841,
E189,support_2::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.1,1440,144,0.1736111111111111,0.1,0.1442561824409948,0.12081469771900524,1.1940284184339105,0.23474849094708994,0.20574654856844735,0.3089451886505253
E189,support_2::unseen_context_row,family_worst_error,predicted_magnitude,0.1,1440,144,0.14583333333333334,0.1,0.13667769451117381,0.12081469771900524,1.1313002233309664,0.23474849094708994,0.13922995401735067,
