target,scenario,scope,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
RPE1,corrupt_100_seed101,all,e230,0.1,467,0.574766823683121,0.5258078530692812,0.13368780860427973,0.9632566509090508
RPE1,corrupt_100_seed101,all,e230,0.2,467,0.574766823683121,0.6076327801150395,0.2598420746884712,0.9266856598404395
RPE1,corrupt_100_seed101,all,e230,0.3,467,0.574766823683121,0.5835527688379382,0.3721289087091542,0.8994349681988495
RPE1,corrupt_100_seed101,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,corrupt_100_seed101,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,corrupt_100_seed101,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,corrupt_100_seed211,primary,candidate,0.1,416,0.5649355585040763,0.6082849972283588,0.136943049803655,0.9599777841756136
RPE1,corrupt_100_seed211,primary,candidate,0.2,416,0.5649355585040763,0.6275612969298462,0.2612069961296845,0.9257165349700338
RPE1,corrupt_100_seed211,primary,candidate,0.3,416,0.5649355585040763,0.5571141557234027,0.3665619821879605,0.9055333862880014
RPE1,corrupt_100_seed211,primary,e230,0.1,416,0.5674920567983944,0.63874229125754,0.13874467153615638,0.9579738412859865
RPE1,corrupt_100_seed211,primary,e230,0.2,416,0.5674920567983944,0.6140576112043226,0.2599313415960799,0.9273149454699722
RPE1,corrupt_100_seed211,primary,e230,0.3,416,0.5674920567983944,0.5471343943944831,0.3653782486086513,0.9072255964907253
RPE1,corrupt_100_seed211,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,corrupt_100_seed211,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,corrupt_100_seed211,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,corrupt_100_seed211,all,candidate,0.1,467,0.5717426052088909,0.5455480793108938,0.13492842125793914,0.9618772077917677
RPE1,corrupt_100_seed211,all,candidate,0.2,467,0.5717426052088909,0.6314046014781256,0.2621329536541932,0.9238174548082888
RPE1,corrupt_100_seed211,all,candidate,0.3,467,0.5717426052088909,0.600114717377844,0.3741213200800826,0.896580808351538
RPE1,corrupt_100_seed211,all,e230,0.1,467,0.5777529313602277,0.6022896514330068,0.13849445497516324,0.9579121179204731
RPE1,corrupt_100_seed211,all,e230,0.2,467,0.5777529313602277,0.6603018228146478,0.2649177649446923,0.920330841208656
RPE1,corrupt_100_seed211,all,e230,0.3,467,0.5777529313602277,0.6129083022704046,0.3756603952651948,0.8943760595434173
RPE1,corrupt_100_seed211,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,corrupt_100_seed211,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,corrupt_100_seed211,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,corrupt_100_seed307,primary,candidate,0.1,416,0.5670134883751938,0.6373041676851496,0.13865960308984074,0.9580684628733322
RPE1,corrupt_100_seed307,primary,candidate,0.2,416,0.5670134883751938,0.6226849524272656,0.26074634182399536,0.9262937403651141
RPE1,corrupt_100_seed307,primary,candidate,0.3,416,0.5670134883751938,0.5149742942250144,0.36156362927760277,0.9126787980086504
RPE1,corrupt_100_seed307,primary,e230,0.1,416,0.5646523245286627,0.6315126935566613,0.13831702355394673,0.9584495139079096
RPE1,corrupt_100_seed307,primary,e230,0.2,416,0.5646523245286627,0.6163163977357086,0.26014472269349104,0.9270475763840594
RPE1,corrupt_100_seed307,primary,e230,0.3,416,0.5646523245286627,0.508748580843596,0.3608251761481293,0.9137344560906469
RPE1,corrupt_100_seed307,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,corrupt_100_seed307,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,corrupt_100_seed307,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,corrupt_100_seed307,all,candidate,0.1,467,0.5758244888985347,0.5845373840047899,0.13737877943360507,0.9591526428678723
RPE1,corrupt_100_seed307,all,candidate,0.2,467,0.5758244888985347,0.6198200727614136,0.2610165582060039,0.9252151938814911
RPE1,corrupt_100_seed307,all,candidate,0.3,467,0.5758244888985347,0.5451562880753995,0.36750979129730005,0.9060519247366898
RPE1,corrupt_100_seed307,all,e230,0.1,467,0.5754483998455208,0.5916878060056585,0.13782816151791888,0.9586529727884091
RPE1,corrupt_100_seed307,all,e230,0.2,467,0.5754483998455208,0.6272786093584329,0.2617353337825237,0.924315279151639
RPE1,corrupt_100_seed307,all,e230,0.3,467,0.5754483998455208,0.5660316331951981,0.3700211066107442,0.902454427033075
RPE1,corrupt_100_seed307,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,corrupt_100_seed307,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,corrupt_100_seed307,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,one_source_keep_K562,primary,candidate,0.1,416,0.5765330275168183,0.5978612071192166,0.13632645770661345,0.9606636192354246
RPE1,one_source_keep_K562,primary,candidate,0.2,416,0.5765330275168183,0.5793985817843591,0.25665720230488287,0.9314174814493035
RPE1,one_source_keep_K562,primary,candidate,0.3,416,0.5765330275168183,0.5679293543240737,0.36784480983569323,0.9036995158362598
RPE1,one_source_keep_K562,primary,e230,0.1,416,0.5730281341161967,0.5804404451089403,0.13529597799937557,0.9618098212627267
RPE1,one_source_keep_K562,primary,e230,0.2,416,0.5730281341161967,0.5709942192962294,0.25586326623972583,0.93241229290444
RPE1,one_source_keep_K562,primary,e230,0.3,416,0.5730281341161967,0.5842069475517568,0.36977555076815505,0.900939418833153
RPE1,one_source_keep_K562,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,one_source_keep_K562,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,one_source_keep_K562,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,one_source_keep_K562,all,candidate,0.1,467,0.5843716545437883,0.5610825598015755,0.135904715694937,0.9607916613582487
RPE1,one_source_keep_K562,all,candidate,0.2,467,0.5843716545437883,0.5574270741619535,0.2550037750070783,0.9327432629267945
RPE1,one_source_keep_K562,all,candidate,0.3,467,0.5843716545437883,0.5995328651613994,0.3740513229436073,0.8966810803231147
RPE1,one_source_keep_K562,all,e230,0.1,467,0.5813994582878049,0.5168546363933311,0.13312512640584961,0.9638822999249244
RPE1,one_source_keep_K562,all,e230,0.2,467,0.5813994582878049,0.545714673293295,0.2538750565812459,0.934156430500156
RPE1,one_source_keep_K562,all,e230,0.3,467,0.5813994582878049,0.5976164979665136,0.373820782933127,0.8970113324240174
RPE1,one_source_keep_K562,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,one_source_keep_K562,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,one_source_keep_K562,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,one_source_keep_hepg2,primary,candidate,0.1,416,0.5809755902414301,0.6465760513497422,0.13920805716771614,0.9574584176958024
RPE1,one_source_keep_hepg2,primary,candidate,0.2,416,0.5809755902414301,0.625024390625785,0.26096734185351983,0.9260168246654692
RPE1,one_source_keep_hepg2,primary,candidate,0.3,416,0.5809755902414301,0.5562855664952883,0.36646370038938375,0.9056738853540081
RPE1,one_source_keep_hepg2,primary,e230,0.1,416,0.5840601136798654,0.6524535286596351,0.13955572399733146,0.9570717080671394
RPE1,one_source_keep_hepg2,primary,e230,0.2,416,0.5840601136798654,0.6317607852174602,0.2616037097663762,0.9252194480035768
RPE1,one_source_keep_hepg2,primary,e230,0.3,416,0.5840601136798654,0.5470020341570243,0.3653625489087806,0.9072480400479287
RPE1,one_source_keep_hepg2,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,one_source_keep_hepg2,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,one_source_keep_hepg2,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,one_source_keep_hepg2,all,candidate,0.1,467,0.5948963728921638,0.6145301220462671,0.13926373099782327,0.9570567562476583
RPE1,one_source_keep_hepg2,all,candidate,0.2,467,0.5948963728921638,0.6416835530005796,0.2631235312575161,0.9225772410261126
RPE1,one_source_keep_hepg2,all,candidate,0.3,467,0.5948963728921638,0.6144942718304202,0.3758511882614239,0.8941027456500461
RPE1,one_source_keep_hepg2,all,e230,0.1,467,0.5968998792308758,0.6334499248746119,0.1404527825571264,0.9557346441567189
RPE1,one_source_keep_hepg2,all,e230,0.2,467,0.5968998792308758,0.644918747726679,0.26343530541376753,0.922186896439063
RPE1,one_source_keep_hepg2,all,e230,0.3,467,0.5968998792308758,0.6117265029261864,0.37551822416462033,0.8945797218255285
RPE1,one_source_keep_hepg2,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,one_source_keep_hepg2,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,one_source_keep_hepg2,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,one_source_keep_jurkat,primary,candidate,0.1,416,0.5897013621725422,0.6646185766446199,0.14027531565920637,0.9562713066464441
RPE1,one_source_keep_jurkat,primary,candidate,0.2,416,0.5897013621725422,0.6281529294162136,0.26126288595701036,0.9256465043430231
RPE1,one_source_keep_jurkat,primary,candidate,0.3,416,0.5897013621725422,0.537687890777778,0.36425776654804776,0.9088273852783921
RPE1,one_source_keep_jurkat,primary,e230,0.1,416,0.5858335801361539,0.6619053494420195,0.14011482178576062,0.9564498238960523
RPE1,one_source_keep_jurkat,primary,e230,0.2,416,0.5858335801361539,0.6257699167243912,0.261037769569844,0.9259285778883882
RPE1,one_source_keep_jurkat,primary,e230,0.3,416,0.5858335801361539,0.539239803051093,0.3644418441636859,0.908564236522016
RPE1,one_source_keep_jurkat,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,one_source_keep_jurkat,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,one_source_keep_jurkat,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,one_source_keep_jurkat,all,candidate,0.1,467,0.5978909796308777,0.6344172118948063,0.14051357357858105,0.9556670503304825
RPE1,one_source_keep_jurkat,all,candidate,0.2,467,0.5978909796308777,0.6544381348878342,0.26435268416573465,0.9210383284037584
RPE1,one_source_keep_jurkat,all,candidate,0.3,467,0.5978909796308777,0.5886662393045716,0.37274406197316046,0.8985537517132945
RPE1,one_source_keep_jurkat,all,e230,0.1,467,0.5946717835193526,0.6313708795167386,0.14032212093517032,0.9558799274363701
RPE1,one_source_keep_jurkat,all,e230,0.2,467,0.5946717835193526,0.6533306872574105,0.264245959971428,0.9211719482395258
RPE1,one_source_keep_jurkat,all,e230,0.3,467,0.5946717835193526,0.5886662393045716,0.37274406197316046,0.8985537517132945
RPE1,one_source_keep_jurkat,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,one_source_keep_jurkat,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,one_source_keep_jurkat,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,two_sources_drop_K562,primary,candidate,0.1,416,0.5938893926564032,0.6678876586652313,0.14046868967358925,0.9560562168336547
RPE1,two_sources_drop_K562,primary,candidate,0.2,416,0.5938893926564032,0.6361410773452723,0.26201750342426583,0.9247009595647753
RPE1,two_sources_drop_K562,primary,candidate,0.3,416,0.5938893926564032,0.5554667087417617,0.36636657287424784,0.9058127343103536
RPE1,two_sources_drop_K562,primary,e230,0.1,416,0.5966497979890215,0.6742730788865886,0.1408464025403636,0.9556360870139272
RPE1,two_sources_drop_K562,primary,e230,0.2,416,0.5966497979890215,0.6408871126019112,0.26246584778852594,0.9241391786746181
RPE1,two_sources_drop_K562,primary,e230,0.3,416,0.5966497979890215,0.5554667087417617,0.36636657287424784,0.9058127343103536
