dataset_group,dataset_name,predictor_name,score_name,score_type,coverage,n_total,n_kept,mean_rmse,median_rmse
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.7,331,232,1.2804003976591747,0.37681033454382507
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.6,331,199,1.4378010755652801,0.4073840232566684
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.5,331,166,1.6509433451844802,0.4395462433121612
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,risk,1.0,331,331,1.4437281231321406,0.8133166861880491
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.9,331,298,1.3510278576087875,0.752713878212927
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.8,331,265,1.3375892037049057,0.6505390542200337
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.7,331,232,1.3954890771753583,0.5860944572765092
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.6,331,199,1.4891486562273013,0.5291743595671922
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.5,331,166,1.6566065610530916,0.5090363065816023
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,risk,1.0,331,331,1.4437281231321404,0.8133166861880491
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,risk,0.9,331,298,1.3142111937830614,0.752713878212927
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,risk,0.8,331,265,1.337575332092403,0.6505390542200337
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,risk,0.7,331,232,1.393046743421036,0.5860944572765092
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,risk,0.6,331,199,1.4878167596083378,0.5291743595671922
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,risk,0.5,331,166,1.6546076010817186,0.5078302099370677
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,1.0,331,331,1.4437281231321404,0.8133166861880491
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.9,331,298,0.9562195612969386,0.752713878212927
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.8,331,265,0.7264367463181335,0.6815499425101297
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.7,331,232,0.6427127623677422,0.6162194241350019
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.6,331,199,0.6231029987951922,0.609274901205938
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.5,331,166,0.5901228990679165,0.5937783613423764
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,risk,1.0,331,331,1.4437281231321404,0.8133166861880491
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.9,331,298,1.3146447372226076,0.752713878212927
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.8,331,265,1.3373839113549921,0.6505390542200337
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.7,331,232,1.393046743421036,0.5860944572765092
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.6,331,199,1.4887019068100216,0.5291743595671922
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.5,331,166,1.6537649171428963,0.5078302099370677
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,risk,1.0,390,390,4.016164262978589,1.313178570311728
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.9,390,351,3.158581636550913,1.172803401209489
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.8,390,312,2.5953700197693466,1.0528548185501747
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.7,390,273,1.7576371431806193,0.978389848248556
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.6,390,234,1.5206516316249545,0.9714403930997013
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.5,390,195,1.5931265307612983,0.9754271820075168
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,risk,1.0,390,390,4.01616426297859,1.313178570311728
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,risk,0.9,390,351,3.6003864132317513,1.1528144684765649
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,risk,0.8,390,312,3.2682766155107514,1.0832172367076973
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,risk,0.7,390,273,3.256599603622159,1.0580859698901632
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,risk,0.6,390,234,3.337740002415164,1.0528548185501747
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,risk,0.5,390,195,3.333506492867337,1.1464949170014442
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,1.0,390,390,4.016164262978589,1.313178570311728
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.9,390,351,3.521308007530843,1.1672798923519507
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.8,390,312,3.5286483875204064,1.099060649067166
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.7,390,273,3.3075566619539303,1.0229885627050153
