guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
SPATC1L-2,ENSG00000160284,SPATC1L,ENSG00000160284,SPATC1L,True,12.0,1.0,True,True
ST14-1,ENSG00000149418,ST14,ENSG00000149418,ST14,True,12.0,1.0,True,True
ST14-2,ENSG00000149418,ST14,ENSG00000149418,ST14,True,12.0,1.0,True,True
ST7-1,ENSG00000004866,ST7,ENSG00000004866,ST7,True,12.0,1.0,True,True
ST7-2,ENSG00000004866,ST7,ENSG00000004866,ST7,True,12.0,1.0,True,True
STAMBPL1-1,ENSG00000138134,STAMBPL1,ENSG00000138134,STAMBPL1,True,12.0,1.0,True,True
STAMBPL1-2,ENSG00000138134,STAMBPL1,ENSG00000138134,STAMBPL1,True,12.0,1.0,True,True
STAT5A-1,ENSG00000126561,STAT5A,ENSG00000126561,STAT5A,True,12.0,1.0,True,True
STAT5A-2,ENSG00000126561,STAT5A,ENSG00000126561,STAT5A,True,12.0,1.0,True,True
STK25-1,ENSG00000115694,STK25,ENSG00000115694,STK25,True,12.0,1.0,True,True
STK25-2,ENSG00000115694,STK25,ENSG00000115694,STK25,True,12.0,1.0,True,True
STMN3-1,ENSG00000197457,STMN3,ENSG00000197457,STMN3,True,12.0,1.0,True,True
STMN3-2,ENSG00000197457,STMN3,ENSG00000197457,STMN3,True,12.0,1.0,True,True
STRADB-1,ENSG00000082146,STRADB,ENSG00000082146,STRADB,True,12.0,1.0,True,True
STRADB-2,ENSG00000082146,STRADB,ENSG00000082146,STRADB,True,12.0,1.0,True,True
TALDO1-1,ENSG00000177156,TALDO1,ENSG00000177156,TALDO1,True,12.0,1.0,True,True
TALDO1-2,ENSG00000177156,TALDO1,ENSG00000177156,TALDO1,True,12.0,1.0,True,True
TBC1D2B-1,ENSG00000167202,TBC1D2B,ENSG00000167202,TBC1D2B,True,12.0,1.0,True,True
TBC1D2B-2,ENSG00000167202,TBC1D2B,ENSG00000167202,TBC1D2B,True,12.0,1.0,True,True
THEM5-1,ENSG00000196407,THEM5,ENSG00000196407,THEM5,True,12.0,1.0,True,True
THEM5-2,ENSG00000196407,THEM5,ENSG00000196407,THEM5,True,12.0,1.0,True,True
TLE1-1,ENSG00000196781,TLE1,ENSG00000196781,TLE1,True,12.0,1.0,True,True
TLE1-2,ENSG00000196781,TLE1,ENSG00000196781,TLE1,True,12.0,1.0,True,True
TMED1-1,ENSG00000099203,TMED1,ENSG00000099203,TMED1,True,12.0,1.0,True,True
TMED1-2,ENSG00000099203,TMED1,ENSG00000099203,TMED1,True,12.0,1.0,True,True
TMPPE-1,ENSG00000188167,TMPPE,ENSG00000188167,TMPPE,True,12.0,1.0,True,True
TMPPE-2,ENSG00000188167,TMPPE,ENSG00000188167,TMPPE,True,12.0,1.0,True,True
TMUB1-1,ENSG00000164897,TMUB1,ENSG00000164897,TMUB1,True,12.0,1.0,True,True
TMUB1-2,ENSG00000164897,TMUB1,ENSG00000164897,TMUB1,True,12.0,1.0,True,True
