culture_condition,stratum,score_name,coverage,selected_k,risk_tie_average,risk_best_legal_tie_order,risk_worst_legal_tie_order
Stim48hr,all_200,magnitude,0.55000000000000004,111,0.11847075447912742,0.11847075447912742,0.11847075447912742
Stim48hr,all_200,magnitude,0.60000000000000009,121,0.11840631656104343,0.11840631656104343,0.11840631656104343
Stim48hr,all_200,magnitude,0.65000000000000002,130,0.12193718317253585,0.12193718317253585,0.12193718317253585
Stim48hr,all_200,magnitude,0.69999999999999996,140,0.1203744354120843,0.1203744354120843,0.1203744354120843
Stim48hr,all_200,magnitude,0.75,150,0.1192309940355501,0.1192309940355501,0.1192309940355501
Stim48hr,all_200,magnitude,0.80000000000000004,160,0.12109522502317734,0.12109522502317734,0.12109522502317734
Stim48hr,all_200,magnitude,0.85000000000000009,171,0.12116563724475919,0.12116563724475919,0.12116563724475919
Stim48hr,all_200,magnitude,0.90000000000000013,181,0.12269028178589859,0.12269028178589859,0.12269028178589859
Stim48hr,all_200,magnitude,0.94999999999999996,190,0.12626304219436227,0.12626304219436227,0.12626304219436227
Stim48hr,all_200,magnitude,1,200,0.12546836589682522,0.12546836589682522,0.12546836589682522
Stim48hr,all_200,disagreement_only,0.20000000000000001,40,0.11527269926371431,0.11527269926371431,0.11527269926371431
Stim48hr,all_200,disagreement_only,0.25,50,0.11187465768714584,0.11187465768714584,0.11187465768714584
Stim48hr,all_200,disagreement_only,0.30000000000000004,61,0.11804230538978376,0.11804230538978376,0.11804230538978376
Stim48hr,all_200,disagreement_only,0.35000000000000003,70,0.11493044341338329,0.11493044341338329,0.11493044341338329
Stim48hr,all_200,disagreement_only,0.40000000000000002,80,0.11623132208699852,0.11623132208699852,0.11623132208699852
Stim48hr,all_200,disagreement_only,0.45000000000000001,90,0.11457206286576334,0.11457206286576334,0.11457206286576334
Stim48hr,all_200,disagreement_only,0.5,100,0.11448577908042502,0.11448577908042502,0.11448577908042502
Stim48hr,all_200,disagreement_only,0.55000000000000004,111,0.11894628575160295,0.11894628575160295,0.11894628575160295
Stim48hr,all_200,disagreement_only,0.60000000000000009,121,0.12089797554407454,0.12089797554407454,0.12089797554407454
Stim48hr,all_200,disagreement_only,0.65000000000000002,130,0.11975768371874437,0.11975768371874437,0.11975768371874437
Stim48hr,all_200,disagreement_only,0.69999999999999996,140,0.12112229997234203,0.12112229997234203,0.12112229997234203
Stim48hr,all_200,disagreement_only,0.75,150,0.12099268587930155,0.12099268587930155,0.12099268587930155
Stim48hr,all_200,disagreement_only,0.80000000000000004,160,0.12176167339616076,0.12176167339616076,0.12176167339616076
Stim48hr,all_200,disagreement_only,0.85000000000000009,171,0.12251173489275863,0.12251173489275863,0.12251173489275863
