fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Nadig_cellline_holdout_2_Jurkat,HepG2::MRPL41,test,perturbation_unseen,HepG2,MRPL41,0.1468985560215903,0.10016217827796936,0.0,0,1.0,2.698983321212378,2.691662378117194,3.698983321212378,0.222294750712799,False,Nadig_two_cellline,0.17720714475779054,0.196253925033022,0.18673053489540625,0.196253925033022
Nadig_cellline_holdout_2_Jurkat,HepG2::BPTF,test,perturbation_unseen,HepG2,BPTF,0.12221743695955165,0.07554544508457184,0.0,0,1.0,1.0131651404672108,0.5600432357055393,2.013165140467211,0.18160297674982792,False,Nadig_two_cellline,0.10765128159465018,0.11037002616257176,0.10901065387861097,0.11037002616257176
Nadig_cellline_holdout_2_Jurkat,HepG2::MRPL38,test,random_seen_pair,HepG2,MRPL38,0.15590397072477394,0.1066480353474617,0.0,0,1.0,3.314088811105948,3.2532875529793057,4.3140888111059486,0.23301595517784585,False,Nadig_two_cellline,0.12307383693300888,0.16407385863990304,0.14357384778645596,0.16407385863990304
Nadig_cellline_holdout_2_Jurkat,HepG2::MNAT1,test,perturbation_unseen,HepG2,MNAT1,0.18108009513268253,0.11090292036533356,0.0,0,1.0,5.0,3.6217277632054468,6.0,0.2400493343848038,False,Nadig_two_cellline,0.10582976478341201,0.1746698527615158,0.1402498087724639,0.1746698527615158
Nadig_cellline_holdout_2_Jurkat,HepG2::GINS1,test,perturbation_unseen,HepG2,GINS1,0.09296763677137726,0.07512635737657547,0.0,0,1.0,-0.9847120553131821,0.5237534740342348,0.015287944686817934,0.18091021942291252,False,Nadig_two_cellline,0.16075605570993814,0.13452951796008686,0.1476427868350125,0.16075605570993814
Nadig_cellline_holdout_2_Jurkat,HepG2::WDR33,test,perturbation_unseen,HepG2,WDR33,0.10282230937237712,0.04307296872138977,0.0,0,1.0,-0.3115988875391526,-2.251822647287992,0.6884011124608473,0.12792555912469275,False,Nadig_two_cellline,0.1808523252316528,0.2094882390879555,0.19517028215980414,0.2094882390879555
Nadig_cellline_holdout_2_Jurkat,HepG2::MKRN1,test,random_seen_pair,HepG2,MKRN1,0.11562471243967305,0.06871376186609268,0.0,0,1.0,0.5628559454781503,-0.03152781513188332,1.5628559454781503,0.17031011724938303,False,Nadig_two_cellline,0.09489924034996673,0.10119031190212346,0.09804477612604509,0.10119031190212346
Nadig_cellline_holdout_2_Jurkat,HepG2::PNN,test,perturbation_unseen,HepG2,PNN,0.0973044297143511,0.056576840579509735,0.0,0,1.0,-0.6884919215738834,-1.0824915454193231,0.3115080784261166,0.15024763155235854,False,Nadig_two_cellline,0.14734040841636287,0.1168266783631382,0.13208354338975054,0.14734040841636287
Nadig_cellline_holdout_2_Jurkat,HepG2::EHMT2,test,random_seen_pair,HepG2,EHMT2,0.08038449368271361,0.05834612622857094,0.0,0,1.0,-1.8441905634175426,-0.929285060695971,-0.8441905634175426,0.1531722832980596,False,Nadig_two_cellline,0.1016675516527792,0.08779266908372652,0.09473011036825285,0.1016675516527792
Nadig_cellline_holdout_2_Jurkat,HepG2::PPP6C,test,random_seen_pair,HepG2,PPP6C,0.09796401239225361,0.050006747245788574,0.0,0,1.0,-0.6434398124163669,-1.6514109307643903,0.35656018758363306,0.13938718346808104,False,Nadig_two_cellline,0.09375312537029729,0.0832983343149938,0.08852572984264553,0.09375312537029729
