test_index,condition,gene_a,gene_b,score_name,raw_value,analysis_score,raw_orientation,analysis_orientation,estimability_before_truth,direction_frozen_before_E163
10,FLI1+HDAC3,FLI1,HDAC3,matching_magnitude_confidence,0.073366341591741824,-0.073366341591741824,higher_effect_size,higher_expected_accuracy,estimable,True
10,FLI1+HDAC3,FLI1,HDAC3,hash_random_confidence,0.62558598497829199,0.62558598497829199,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
10,FLI1+HDAC3,FLI1,HDAC3,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
10,FLI1+HDAC3,FLI1,HDAC3,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
11,FLI1+IKZF1,FLI1,IKZF1,min_single_cell_count_confidence,45,3.8286413964890951,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
11,FLI1+IKZF1,FLI1,IKZF1,min_train_pair_degree_confidence,2,1.0986122886681096,higher_train_pair_degree,higher_expected_accuracy,estimable,True
11,FLI1+IKZF1,FLI1,IKZF1,matching_se_pca10_confidence,0.24522059210886119,-0.24522059210886119,higher_uncertainty,higher_expected_accuracy,estimable,True
11,FLI1+IKZF1,FLI1,IKZF1,matching_se_gene_confidence,0.035245803707088505,-0.035245803707088505,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
11,FLI1+IKZF1,FLI1,IKZF1,matching_magnitude_confidence,0.074845652219596048,-0.074845652219596048,higher_effect_size,higher_expected_accuracy,estimable,True
11,FLI1+IKZF1,FLI1,IKZF1,hash_random_confidence,0.89593899804929023,0.89593899804929023,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
11,FLI1+IKZF1,FLI1,IKZF1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
11,FLI1+IKZF1,FLI1,IKZF1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
12,FLI1+INTS1,FLI1,INTS1,min_single_cell_count_confidence,217,5.3844950627890888,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
12,FLI1+INTS1,FLI1,INTS1,min_train_pair_degree_confidence,5,1.791759469228055,higher_train_pair_degree,higher_expected_accuracy,estimable,True
12,FLI1+INTS1,FLI1,INTS1,matching_se_pca10_confidence,0.16284824794753683,-0.16284824794753683,higher_uncertainty,higher_expected_accuracy,estimable,True
12,FLI1+INTS1,FLI1,INTS1,matching_se_gene_confidence,0.024410054549698031,-0.024410054549698031,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
12,FLI1+INTS1,FLI1,INTS1,matching_magnitude_confidence,0.059430098532961669,-0.059430098532961669,higher_effect_size,higher_expected_accuracy,estimable,True
12,FLI1+INTS1,FLI1,INTS1,hash_random_confidence,0.50528702901174571,0.50528702901174571,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
12,FLI1+INTS1,FLI1,INTS1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
12,FLI1+INTS1,FLI1,INTS1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
13,FLI1+MED24,FLI1,MED24,min_single_cell_count_confidence,110,4.7095302013123339,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
13,FLI1+MED24,FLI1,MED24,min_train_pair_degree_confidence,5,1.791759469228055,higher_train_pair_degree,higher_expected_accuracy,estimable,True
13,FLI1+MED24,FLI1,MED24,matching_se_pca10_confidence,0.18825911256028538,-0.18825911256028538,higher_uncertainty,higher_expected_accuracy,estimable,True
13,FLI1+MED24,FLI1,MED24,matching_se_gene_confidence,0.028562766233164935,-0.028562766233164935,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
13,FLI1+MED24,FLI1,MED24,matching_magnitude_confidence,0.11674732096701836,-0.11674732096701836,higher_effect_size,higher_expected_accuracy,estimable,True
13,FLI1+MED24,FLI1,MED24,hash_random_confidence,0.25486890107581928,0.25486890107581928,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
13,FLI1+MED24,FLI1,MED24,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
13,FLI1+MED24,FLI1,MED24,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
14,FLI1+RING1,FLI1,RING1,min_single_cell_count_confidence,83,4.4308167988433134,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
14,FLI1+RING1,FLI1,RING1,min_train_pair_degree_confidence,3,1.3862943611198906,higher_train_pair_degree,higher_expected_accuracy,estimable,True
14,FLI1+RING1,FLI1,RING1,matching_se_pca10_confidence,0.20870966410117958,-0.20870966410117958,higher_uncertainty,higher_expected_accuracy,estimable,True
14,FLI1+RING1,FLI1,RING1,matching_se_gene_confidence,0.030032086124411352,-0.030032086124411352,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
14,FLI1+RING1,FLI1,RING1,matching_magnitude_confidence,0.059910061943582622,-0.059910061943582622,higher_effect_size,higher_expected_accuracy,estimable,True
14,FLI1+RING1,FLI1,RING1,hash_random_confidence,0.19283569068611583,0.19283569068611583,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
14,FLI1+RING1,FLI1,RING1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
14,FLI1+RING1,FLI1,RING1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
15,FLI1+SMARCD1,FLI1,SMARCD1,min_single_cell_count_confidence,76,4.3438054218536841,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
15,FLI1+SMARCD1,FLI1,SMARCD1,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
15,FLI1+SMARCD1,FLI1,SMARCD1,matching_se_pca10_confidence,0.20793690122501265,-0.20793690122501265,higher_uncertainty,higher_expected_accuracy,estimable,True
15,FLI1+SMARCD1,FLI1,SMARCD1,matching_se_gene_confidence,0.030899249200497803,-0.030899249200497803,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
15,FLI1+SMARCD1,FLI1,SMARCD1,matching_magnitude_confidence,0.087983169886660384,-0.087983169886660384,higher_effect_size,higher_expected_accuracy,estimable,True
15,FLI1+SMARCD1,FLI1,SMARCD1,hash_random_confidence,0.93367636365394691,0.93367636365394691,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
15,FLI1+SMARCD1,FLI1,SMARCD1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
15,FLI1+SMARCD1,FLI1,SMARCD1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
16,GATA2+GFI1,GATA2,GFI1,min_single_cell_count_confidence,47,3.8712010109078907,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
16,GATA2+GFI1,GATA2,GFI1,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
16,GATA2+GFI1,GATA2,GFI1,matching_se_pca10_confidence,0.25820613993234892,-0.25820613993234892,higher_uncertainty,higher_expected_accuracy,estimable,True
16,GATA2+GFI1,GATA2,GFI1,matching_se_gene_confidence,0.038611224378399929,-0.038611224378399929,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
16,GATA2+GFI1,GATA2,GFI1,matching_magnitude_confidence,0.10035714434999603,-0.10035714434999603,higher_effect_size,higher_expected_accuracy,estimable,True
16,GATA2+GFI1,GATA2,GFI1,hash_random_confidence,0.83921717286241171,0.83921717286241171,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
16,GATA2+GFI1,GATA2,GFI1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
16,GATA2+GFI1,GATA2,GFI1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
17,GATA2+IKZF1,GATA2,IKZF1,min_single_cell_count_confidence,45,3.8286413964890951,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
17,GATA2+IKZF1,GATA2,IKZF1,min_train_pair_degree_confidence,2,1.0986122886681096,higher_train_pair_degree,higher_expected_accuracy,estimable,True
17,GATA2+IKZF1,GATA2,IKZF1,matching_se_pca10_confidence,0.28835428069227181,-0.28835428069227181,higher_uncertainty,higher_expected_accuracy,estimable,True
17,GATA2+IKZF1,GATA2,IKZF1,matching_se_gene_confidence,0.042442399025185922,-0.042442399025185922,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
17,GATA2+IKZF1,GATA2,IKZF1,matching_magnitude_confidence,0.060298264703029479,-0.060298264703029479,higher_effect_size,higher_expected_accuracy,estimable,True
17,GATA2+IKZF1,GATA2,IKZF1,hash_random_confidence,0.15408786281775946,0.15408786281775946,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
17,GATA2+IKZF1,GATA2,IKZF1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
17,GATA2+IKZF1,GATA2,IKZF1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
18,GATA2+KDM1A,GATA2,KDM1A,min_single_cell_count_confidence,39,3.6888794541139363,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
18,GATA2+KDM1A,GATA2,KDM1A,min_train_pair_degree_confidence,3,1.3862943611198906,higher_train_pair_degree,higher_expected_accuracy,estimable,True
18,GATA2+KDM1A,GATA2,KDM1A,matching_se_pca10_confidence,0.29726289507994219,-0.29726289507994219,higher_uncertainty,higher_expected_accuracy,estimable,True
18,GATA2+KDM1A,GATA2,KDM1A,matching_se_gene_confidence,0.043956020965732957,-0.043956020965732957,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
18,GATA2+KDM1A,GATA2,KDM1A,matching_magnitude_confidence,0.10466573485782747,-0.10466573485782747,higher_effect_size,higher_expected_accuracy,estimable,True
18,GATA2+KDM1A,GATA2,KDM1A,hash_random_confidence,0.36672504340846085,0.36672504340846085,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
18,GATA2+KDM1A,GATA2,KDM1A,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
18,GATA2+KDM1A,GATA2,KDM1A,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
