scope,target,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
primary,K562,E230,0.3,566,0.912333765015902,0.9388573724414864,0.42946606501200346,0.8154601192000153
primary,K562,E232,0.1,566,0.9136255257459794,0.944494394392099,0.17411387830123512,0.9183723868005913
primary,K562,E232,0.2,566,0.9136255257459794,0.9432973333242155,0.3101712503855281,0.8638121068181219
primary,K562,E232,0.3,566,0.9136255257459794,0.9435656285615676,0.4301135496204619,0.8145346740273197
primary,RPE1,M,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
primary,RPE1,M,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
primary,RPE1,M,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
primary,RPE1,M+D,0.1,416,0.5512231024929306,0.5965306657191146,0.1362477530029021,0.9607511624352747
primary,RPE1,M+D,0.2,416,0.5512231024929306,0.5970325181845761,0.25832302979609256,0.929330179532607
primary,RPE1,M+D,0.3,416,0.5512231024929306,0.5505188958000581,0.365779695880881,0.9066517062321426
primary,RPE1,M+G,0.1,416,0.5998952865972177,0.6242580982163094,0.13788789690161976,0.9589268312538134
primary,RPE1,M+G,0.2,416,0.5998952865972177,0.5942751903328618,0.25806255292731994,0.9296565601874546
primary,RPE1,M+G,0.3,416,0.5998952865972177,0.588242090332628,0.3702541728363184,0.9002552030930981
primary,RPE1,M+H,0.1,416,0.603490697973745,0.6319900496316807,0.13834526030662977,0.958418106183
primary,RPE1,M+H,0.2,416,0.603490697973745,0.6284506622908883,0.26129101192936355,0.9256112621607976
primary,RPE1,M+H,0.3,416,0.603490697973745,0.5816228073967225,0.36946903707766315,0.9013775964800416
primary,RPE1,M+N,0.1,416,0.5787525870481726,0.5986597709297323,0.13637369466451377,0.9606110775924126
primary,RPE1,M+N,0.2,416,0.5787525870481726,0.5997236133059342,0.2585772498484322,0.9290116387441331
primary,RPE1,M+N,0.3,416,0.5787525870481726,0.5567034445688664,0.366513266335046,0.9056030281945734
primary,RPE1,M+C,0.1,416,0.5704305878744637,0.560075531892365,0.13409134471198195,0.9631497342241058
primary,RPE1,M+C,0.2,416,0.5704305878744637,0.5632410496378892,0.25513084649703494,0.9333300236663659
primary,RPE1,M+C,0.3,416,0.5704305878744637,0.5313862095641692,0.36351030261451317,0.9098959247847508
primary,RPE1,E230,0.1,416,0.5895359948131303,0.6325568732101643,0.13837878927596342,0.9583808119283402
primary,RPE1,E230,0.2,416,0.5895359948131303,0.6245692275187454,0.2609243438977893,0.9260707016220472
primary,RPE1,E230,0.3,416,0.5895359948131303,0.5740274473265127,0.36856812547610035,0.9026654976011762
primary,RPE1,E232,0.1,416,0.5910103613124326,0.6432644437026414,0.1390121676608933,0.9576763054894876
primary,RPE1,E232,0.2,416,0.5910103613124326,0.6279743235945844,0.2612460135763344,0.9256676456392918
primary,RPE1,E232,0.3,416,0.5910103613124326,0.5689975437367939,0.3679715114305736,0.9035183891576681
primary,hepg2,M,0.1,405,0.777139208173691,0.761389675665801,0.15672867954060551,0.938255177983667
primary,hepg2,M,0.2,405,0.777139208173691,0.7962803407888822,0.2872545268547544,0.890931841431557
primary,hepg2,M,0.3,405,0.777139208173691,0.8021393472994984,0.4058890981664975,0.8502293824825743
primary,hepg2,M+D,0.1,405,0.7579948610917898,0.7642769130761319,0.15693911669295876,0.9380210377454717
primary,hepg2,M+D,0.2,405,0.7579948610917898,0.7711496653549383,0.2845007665492359,0.894374041813455
primary,hepg2,M+D,0.3,405,0.7579948610917898,0.7431120708391877,0.39818785285096864,0.8612505992768823
primary,hepg2,M+G,0.1,405,0.7976715919729288,0.8356420332385711,0.162140584577309,0.9322336902367853
primary,hepg2,M+G,0.2,405,0.7976715919729288,0.8092245849401504,0.288672926683378,0.8891588416457775
primary,hepg2,M+G,0.3,405,0.7976715919729288,0.7992462197699762,0.405511633947071,0.850769569793061
primary,hepg2,M+H,0.1,405,0.7813590838734638,0.782777318560648,0.15828752421691633,0.9365207491542551
primary,hepg2,M+H,0.2,405,0.7813590838734638,0.8200373567099872,0.28985776478176795,0.88767779402279
primary,hepg2,M+H,0.3,405,0.7813590838734638,0.7683367789942239,0.40147890195849734,0.8565407940169915
primary,hepg2,M+N,0.1,405,0.7770475369286952,0.7060680489714087,0.15269654642143024,0.942741479943189
primary,hepg2,M+N,0.2,405,0.7770475369286952,0.7631820958913904,0.2836276990275192,0.8954653762156009
primary,hepg2,M+N,0.3,405,0.7770475369286952,0.734010074092617,0.3970003220345397,0.8629500691731852
primary,hepg2,M+C,0.1,405,0.7892415900386932,0.7392070381954068,0.15511189144959114,0.9400540768211967
primary,hepg2,M+C,0.2,405,0.7892415900386932,0.7875931396602136,0.2863026037877814,0.8921217452652732
primary,hepg2,M+C,0.3,405,0.7892415900386932,0.8020913492505971,0.405882835896384,0.850238344388567
primary,hepg2,E230,0.1,405,0.799659651615731,0.8214444148326714,0.16110578696182884,0.9333850447265366
primary,hepg2,E230,0.2,405,0.799659651615731,0.8212304892117209,0.28998850543500404,0.8875143682062449
primary,hepg2,E230,0.3,405,0.799659651615731,0.7859111190733236,0.4037718131738518,0.8532594193095054
primary,hepg2,E232,0.1,405,0.7996835151495446,0.8230965336411277,0.16122620212968336,0.9332510663117534
