method,baseline,budget,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
MDH_condition,MD,0.2,utility,0.006000943517754556,-0.003883267237011101,0.015885154272520213,2,4
MDH_condition,MD,0.2,capture,0.0003517642331696616,-0.0001252631224935158,0.0009281408685718057,2,4
MDH_condition,MD,0.2,spearman,-0.0013644003408591968,-0.004336179955534175,0.0028395667501588326,1,4
MDH_condition,MD,0.2,remaining_relative_error,-0.0004746228110794892,-0.0012663073079540177,0.00017091018098636113,2,4
M,MDH,0.2,utility,0.0025409922083717354,-0.015207727035428414,0.020289711452171885,2,4
M,MDH,0.2,capture,0.0006401379338007995,-0.0009665643261816265,0.00237666140948848,2,4
M,MDH,0.2,spearman,-0.005922235527786257,-0.012944146791727992,0.00019543657039845785,1,4
M,MDH,0.2,remaining_relative_error,-0.0008287980185583965,-0.002959413645447717,0.00122416044427065,2,4
MD,MDH,0.2,utility,-0.004144494842894093,-0.013704558844437581,0.005415569158649394,2,4
MD,MDH,0.2,capture,-0.0001393498147507985,-0.0007639521127937796,0.00046184063314458346,2,4
MD,MDH,0.2,spearman,-0.0003920282589583296,-0.0022131253006392737,0.0014140741209907187,2,4
MD,MDH,0.2,remaining_relative_error,0.00019016416392747537,-0.0005785440024574373,0.0009959914971495454,2,4
MDH,MDH,0.2,utility,0.0,0.0,0.0,0,4
MDH,MDH,0.2,capture,0.0,0.0,0.0,0,4
MDH,MDH,0.2,spearman,0.0,0.0,0.0,0,4
MDH,MDH,0.2,remaining_relative_error,0.0,0.0,0.0,0,4
MDH_condition,MDH,0.2,utility,0.0018564486748604628,-0.016152277616365465,0.019779268719893696,2,4
MDH_condition,MDH,0.2,capture,0.0002124144184188631,-0.0008427904262971672,0.0014624869074708544,3,4
MDH_condition,MDH,0.2,spearman,-0.0017564285998175264,-0.0055158052725141765,0.002002948072879124,2,4
MDH_condition,MDH,0.2,remaining_relative_error,-0.00028445864715201385,-0.001943387512451461,0.0011146959727212358,1,4
M,magnitude,0.3,utility,0.0,0.0,0.0,0,4
M,magnitude,0.3,capture,0.0,0.0,0.0,0,4
M,magnitude,0.3,spearman,0.0,0.0,0.0,0,4
M,magnitude,0.3,remaining_relative_error,0.0,0.0,0.0,0,4
MD,magnitude,0.3,utility,-0.006757823562734494,-0.022176116306702257,0.004105941101233496,2,4
MD,magnitude,0.3,capture,-0.00030926977488052176,-0.0012440242630153558,0.0004334842050744414,2,4
MD,magnitude,0.3,spearman,0.0055302072688279275,0.0003876931035518838,0.01057754417709185,3,4
MD,magnitude,0.3,remaining_relative_error,0.0002824476792724073,-0.0007802226520428057,0.0015387423038439318,2,4
MDH,magnitude,0.3,utility,-0.0034801882785008287,-0.018466437607931166,0.005721254016606198,3,4
MDH,magnitude,0.3,capture,6.0289714089972746e-05,-0.001119051500113405,0.0011504609107325647,3,4
MDH,magnitude,0.3,spearman,0.005922235527786257,-0.00019543657039845785,0.012944146791727992,3,4
MDH,magnitude,0.3,remaining_relative_error,-0.0002735135392073207,-0.0020142290165046928,0.0014102720677415803,1,4
MDH_condition,magnitude,0.3,utility,-0.004377201507647144,-0.016905403181963027,0.0034455350984295835,2,4
MDH_condition,magnitude,0.3,capture,-0.00011516169396584564,-0.0006242997541081458,0.00025724498345788827,2,4
MDH_condition,magnitude,0.3,spearman,0.004165806927968731,-0.0028741346943848833,0.00933985838402114,3,4
MDH_condition,magnitude,0.3,remaining_relative_error,8.023141198115757e-05,-0.0003780925528367174,0.0006512078240737407,2,4
