dataset,fold_id,score,endpoint,n_tasks,spearman
Liang,Liang_context_holdout_3_DM2_3,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,-0.08447532160171012
Liang,Liang_context_holdout_3_DM2_3,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,68,0.2681604763904264
Liang,Liang_context_holdout_3_DM2_3,safeconf_frozen_pair_risk,error_centered_pearson_mean,68,0.07283276711073786
Liang,Liang_context_holdout_3_DM2_3,safeconf_frozen_pair_risk,error_centered_cosine_mean,68,0.06970263770660762
Liang,Liang_context_holdout_3_DM2_3,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,-0.03214108485704469
Liang,Liang_context_holdout_3_DM2_3,risk_model_disagreement,error_two_predictor_mean_rmse,68,0.17769210214910103
Liang,Liang_context_holdout_3_DM2_3,risk_model_disagreement,error_centered_pearson_mean,68,0.0650837882200252
Liang,Liang_context_holdout_3_DM2_3,risk_model_disagreement,error_centered_cosine_mean,68,0.06760316066725197
Liang,Liang_context_holdout_3_DM2_3,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,68,-0.002061304729549185
Liang,Liang_context_holdout_3_DM2_3,baseline_predicted_magnitude,error_two_predictor_mean_rmse,68,0.14688704813528267
Liang,Liang_context_holdout_3_DM2_3,baseline_predicted_magnitude,error_centered_pearson_mean,68,0.0314539832805283
Liang,Liang_context_holdout_3_DM2_3,baseline_predicted_magnitude,error_centered_cosine_mean,68,0.03126312173149597
Liang,Liang_context_holdout_3_DM2_3,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,68,-0.030537847845173105
Liang,Liang_context_holdout_4_DM2_4,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,68,0.04499442610117344
Liang,Liang_context_holdout_4_DM2_4,safeconf_calibrated_pair_risk,error_centered_pearson_mean,68,-0.008968846023028372
Liang,Liang_context_holdout_4_DM2_4,safeconf_calibrated_pair_risk,error_centered_cosine_mean,68,0.007981843829106591
Liang,Liang_context_holdout_4_DM2_4,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,0.04269857317183364
Liang,Liang_context_holdout_4_DM2_4,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,68,0.3949688895675077
Liang,Liang_context_holdout_4_DM2_4,safeconf_frozen_pair_risk,error_centered_pearson_mean,68,0.0631370004198954
Liang,Liang_context_holdout_4_DM2_4,safeconf_frozen_pair_risk,error_centered_cosine_mean,68,0.07871130282093368
Liang,Liang_context_holdout_4_DM2_4,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,-0.04271481467343588
Liang,Liang_context_holdout_4_DM2_4,risk_model_disagreement,error_two_predictor_mean_rmse,68,0.4713898538000533
Liang,Liang_context_holdout_4_DM2_4,risk_model_disagreement,error_centered_pearson_mean,68,0.16383555368935374
Liang,Liang_context_holdout_4_DM2_4,risk_model_disagreement,error_centered_cosine_mean,68,0.16998129556819483
Liang,Liang_context_holdout_4_DM2_4,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,68,0.014238271557811964
Liang,Liang_context_holdout_4_DM2_4,baseline_predicted_magnitude,error_two_predictor_mean_rmse,68,0.4815818605183799
Liang,Liang_context_holdout_4_DM2_4,baseline_predicted_magnitude,error_centered_pearson_mean,68,0.19147230598923537
Liang,Liang_context_holdout_4_DM2_4,baseline_predicted_magnitude,error_centered_cosine_mean,68,0.19834332175439934
Liang,Liang_context_holdout_4_DM2_4,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,68,0.04481429171279153
Liang,Liang_context_holdout_5_DM2_5,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,68,0.22727793258770082
Liang,Liang_context_holdout_5_DM2_5,safeconf_calibrated_pair_risk,error_centered_pearson_mean,68,-0.07184028705576974
Liang,Liang_context_holdout_5_DM2_5,safeconf_calibrated_pair_risk,error_centered_cosine_mean,68,-0.06611444058479977
Liang,Liang_context_holdout_5_DM2_5,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,-0.2004046264839485
Liang,Liang_context_holdout_5_DM2_5,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,68,0.14276443867618427
Liang,Liang_context_holdout_5_DM2_5,safeconf_frozen_pair_risk,error_centered_pearson_mean,68,0.010955452914455852
Liang,Liang_context_holdout_5_DM2_5,safeconf_frozen_pair_risk,error_centered_cosine_mean,68,0.009504905141810129
Liang,Liang_context_holdout_5_DM2_5,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,-0.081765087605451
Liang,Liang_context_holdout_5_DM2_5,risk_model_disagreement,error_two_predictor_mean_rmse,68,-0.04214223002633889
Liang,Liang_context_holdout_5_DM2_5,risk_model_disagreement,error_centered_pearson_mean,68,-0.029239989311753253
Liang,Liang_context_holdout_5_DM2_5,risk_model_disagreement,error_centered_cosine_mean,68,-0.03481314654349734
Liang,Liang_context_holdout_5_DM2_5,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,68,-0.02355231515058976
Liang,Liang_context_holdout_5_DM2_5,baseline_predicted_magnitude,error_two_predictor_mean_rmse,68,0.04805893804634118
Liang,Liang_context_holdout_5_DM2_5,baseline_predicted_magnitude,error_centered_pearson_mean,68,-0.03126312173149597
Liang,Liang_context_holdout_5_DM2_5,baseline_predicted_magnitude,error_centered_cosine_mean,68,-0.03756155284956292
Liang,Liang_context_holdout_5_DM2_5,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,68,-0.0399664083673703
Liang,Liang_context_holdout_6_DM2_6,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,68,-0.0621063480551208
