dataset,predictor,held_fold,method,n_fit,n_test,utility20,spearman
SantinhaPlatt2023,V0StrongBaseline,1,P_plus_B,220,53,0.7167750721777432,0.6827124657313336
SantinhaPlatt2023,V0StrongBaseline,1,P_plus_E,220,53,0.7131319403903696,0.6793259151749717
SantinhaPlatt2023,V0StrongBaseline,1,P_plus_B_plus_E,220,53,0.9296732118971375,0.7834220287050476
SantinhaPlatt2023,V0StrongBaseline,1,P_plus_B_plus_E_dynamic,220,53,0.9337255055227944,0.8427206393173521
SantinhaPlatt2023,V0StrongBaseline,2,M,218,55,0.35099172465920586,0.33456030056527747
SantinhaPlatt2023,V0StrongBaseline,2,P,218,55,0.11738895427068931,0.3826118326118327
SantinhaPlatt2023,V0StrongBaseline,2,P_plus_B,218,55,0.8702116723503964,0.6521645021645023
SantinhaPlatt2023,V0StrongBaseline,2,P_plus_E,218,55,0.8192502802897752,0.8227994227994229
SantinhaPlatt2023,V0StrongBaseline,2,P_plus_B_plus_E,218,55,0.8215631802545075,0.7766233766233767
SantinhaPlatt2023,V0StrongBaseline,2,P_plus_B_plus_E_dynamic,218,55,0.8447650463253713,0.7931525887833534
SantinhaPlatt2023,V0StrongBaseline,3,M,217,56,-0.17939041264751254,0.23969912539160182
SantinhaPlatt2023,V0StrongBaseline,3,P,217,56,-0.10830031368430841,0.2798749124624706
SantinhaPlatt2023,V0StrongBaseline,3,P_plus_B,217,56,0.2711466224161857,0.6297334244702666
SantinhaPlatt2023,V0StrongBaseline,3,P_plus_E,217,56,0.6113842381431419,0.6468215994531784
SantinhaPlatt2023,V0StrongBaseline,3,P_plus_B_plus_E,217,56,0.6113842381431419,0.6746411483253589
SantinhaPlatt2023,V0StrongBaseline,3,P_plus_B_plus_E_dynamic,217,56,0.6356770420153476,0.7398496240601504
SantinhaPlatt2023,V0StrongBaseline,4,M,219,54,0.3800752833265953,0.44079962751577606
SantinhaPlatt2023,V0StrongBaseline,4,P,219,54,0.3901676309899434,0.4548503906994472
SantinhaPlatt2023,V0StrongBaseline,4,P_plus_B,219,54,0.5134694079617146,0.7347817800647988
SantinhaPlatt2023,V0StrongBaseline,4,P_plus_E,219,54,0.6282346234980642,0.6893462931198778
SantinhaPlatt2023,V0StrongBaseline,4,P_plus_B_plus_E,219,54,0.8338976507661238,0.7953878406708593
SantinhaPlatt2023,V0StrongBaseline,4,P_plus_B_plus_E_dynamic,219,54,0.7675564137486478,0.8276506128930805
