source_id,source_label,source_status,record_id,dataset_name,dataset_family,fold_id,split,context,perturbation,predictor_name,true_error_rmse,score_name,score_type,score_value
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::CCT3+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,CCT3+ctrl,GEARS,0.0638178139925003,gears_uncertainty_confidence,confidence,0.1957676638002839
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::CCT3+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,CCT3+ctrl,GEARS,0.0638178139925003,gears_prediction_magnitude_risk,risk,2.671228170394897
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::CD58+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,CD58+ctrl,GEARS,0.0344515033066272,gears_uncertainty_confidence,confidence,0.2018580803395336
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::CD58+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,CD58+ctrl,GEARS,0.0344515033066272,gears_prediction_magnitude_risk,risk,1.6018993854522705
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::CKS1B+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,CKS1B+ctrl,GEARS,0.0349913164973259,gears_uncertainty_confidence,confidence,0.2012511781534364
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::CKS1B+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,CKS1B+ctrl,GEARS,0.0349913164973259,gears_prediction_magnitude_risk,risk,1.62241792678833
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::FRZB+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,FRZB+ctrl,GEARS,0.035505436360836,gears_uncertainty_confidence,confidence,0.1932139993079134
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::FRZB+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,FRZB+ctrl,GEARS,0.035505436360836,gears_prediction_magnitude_risk,risk,1.6337757110595703
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::FSTL3+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,FSTL3+ctrl,GEARS,0.0307677816599607,gears_uncertainty_confidence,confidence,0.1898871717142328
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::FSTL3+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,FSTL3+ctrl,GEARS,0.0307677816599607,gears_prediction_magnitude_risk,risk,1.5136321783065796
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::GSN+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,GSN+ctrl,GEARS,0.0319030731916427,gears_uncertainty_confidence,confidence,0.1903212203770266
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::GSN+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,GSN+ctrl,GEARS,0.0319030731916427,gears_prediction_magnitude_risk,risk,1.5348773002624512
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::KDR+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,KDR+ctrl,GEARS,0.0324943512678146,gears_uncertainty_confidence,confidence,0.1963477773461694
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::KDR+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,KDR+ctrl,GEARS,0.0324943512678146,gears_prediction_magnitude_risk,risk,1.5506585836410522
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PABPC1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PABPC1+ctrl,GEARS,0.0565841011703014,gears_uncertainty_confidence,confidence,0.1973613571539804
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PABPC1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PABPC1+ctrl,GEARS,0.0565841011703014,gears_prediction_magnitude_risk,risk,2.1807358264923096
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PFN1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PFN1+ctrl,GEARS,0.0474858283996582,gears_uncertainty_confidence,confidence,0.1933039406909486
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PFN1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PFN1+ctrl,GEARS,0.0474858283996582,gears_prediction_magnitude_risk,risk,1.9524922370910645
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PIK3IP1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PIK3IP1+ctrl,GEARS,0.0344920270144939,gears_uncertainty_confidence,confidence,0.1949921875727877
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PIK3IP1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PIK3IP1+ctrl,GEARS,0.0344920270144939,gears_prediction_magnitude_risk,risk,1.616761326789856
