model,heldout_dataset,fold_id,endpoint,n_tasks,spearman
ridge_positive_alpha10,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,error_centered_pearson_mean,51,-0.0020814479638009047
ridge_positive_alpha10,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,error_centered_cosine_mean,51,0.03239819004524887
ridge_positive_alpha10,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,direction_error_rank_target,51,0.01181262759370276
ridge_positive_alpha10,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_centered_pearson_mean,51,0.32895927601809954
ridge_positive_alpha10,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,error_centered_cosine_mean,51,0.32443438914027145
ridge_positive_alpha10,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,direction_error_rank_target,51,0.33042927978164277
ridge_positive_alpha10,Santinha,Santinha_context_holdout_4_Neurons_L_5,error_centered_pearson_mean,51,0.3350226244343891
ridge_positive_alpha10,Santinha,Santinha_context_holdout_4_Neurons_L_5,error_centered_cosine_mean,51,0.3540271493212669
ridge_positive_alpha10,Santinha,Santinha_context_holdout_4_Neurons_L_5,direction_error_rank_target,51,0.34328121897304836
ridge_positive_alpha10,Santinha,Santinha_context_holdout_5_Neurons_L_6,error_centered_pearson_mean,51,0.023438914027149316
ridge_positive_alpha10,Santinha,Santinha_context_holdout_5_Neurons_L_6,error_centered_cosine_mean,51,0.05502262443438914
ridge_positive_alpha10,Santinha,Santinha_context_holdout_5_Neurons_L_6,direction_error_rank_target,51,0.03661544841772629
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_1_D1_nostim,error_centered_pearson_mean,43,0.0480217456961643
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_1_D1_nostim,error_centered_cosine_mean,43,0.03654485049833887
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_1_D1_nostim,direction_error_rank_target,43,0.0323262854631797
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_2_D1_stim,error_centered_pearson_mean,43,0.6014799154334038
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_2_D1_stim,error_centered_cosine_mean,43,0.5975536091815161
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_2_D1_stim,direction_error_rank_target,43,0.5996073169129621
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_3_D2_nostim,error_centered_pearson_mean,43,0.126094835397161
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_3_D2_nostim,error_centered_cosine_mean,43,0.1478405315614618
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_3_D2_nostim,direction_error_rank_target,43,0.14198860055763263
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_4_D2_stim,error_centered_pearson_mean,43,-0.19646632437330114
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_4_D2_stim,error_centered_cosine_mean,43,-0.16158260344306855
ridge_positive_alpha10,Shifrut,Shifrut_context_holdout_4_D2_stim,direction_error_rank_target,43,-0.18322571540043447
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,error_centered_pearson_mean,183,0.3919693239611254
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,error_centered_cosine_mean,183,0.15728078630604397
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,direction_error_rank_target,183,0.3053638329666813
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,error_centered_pearson_mean,183,0.44314577083643375
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,error_centered_cosine_mean,183,0.24350684952965782
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,direction_error_rank_target,183,0.35765792320546913
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,error_centered_pearson_mean,183,-0.17358407807445586
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,error_centered_cosine_mean,183,-0.0974560008772411
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,direction_error_rank_target,183,-0.14523960936345745
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,error_centered_pearson_mean,183,0.05406977199564514
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,error_centered_cosine_mean,183,0.12157817236220658
ridge_positive_alpha10,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,direction_error_rank_target,183,0.10139568128721768
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_1_Co-culture,error_centered_pearson_mean,279,0.6792255375901263
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_1_Co-culture,error_centered_cosine_mean,279,0.6714767716236416
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_1_Co-culture,direction_error_rank_target,279,0.6751143661783103
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_2_Control,error_centered_pearson_mean,279,-0.2052370102780713
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_2_Control,error_centered_cosine_mean,279,-0.20824052859222553
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_2_Control,direction_error_rank_target,279,-0.2074738984649887
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_3_IFNγ,error_centered_pearson_mean,279,0.6181672535531526
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_3_IFNγ,error_centered_cosine_mean,279,0.6063193905713993
hist_leaf7_l2_10,Frangieh,frangieh_context_holdout_3_IFNγ,direction_error_rank_target,279,0.6136744543409886
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,error_centered_pearson_mean,69,0.21112882981162925
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,error_centered_cosine_mean,69,0.23611644418453845
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,direction_error_rank_target,69,0.22123528585109514
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,error_centered_pearson_mean,69,0.4378476233268272
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,error_centered_cosine_mean,69,0.44192530217426435
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,direction_error_rank_target,69,0.4401654830068031
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),error_centered_pearson_mean,69,0.7742936152521942
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),error_centered_cosine_mean,69,0.7673082773917136
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),direction_error_rank_target,69,0.7693218033668553
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,error_centered_pearson_mean,69,0.45982119962604273
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,error_centered_cosine_mean,69,0.4486301324912643
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,direction_error_rank_target,69,0.45166852166547866
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,error_centered_pearson_mean,69,0.4662530361502191
