panel,system,arm,score_name,outcome_name,normalized_aurc,coverage,n_retained,selective_error,normalized_selective_error
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.85,21,0.24286380391342619,1.0391695668319036
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.9,22,0.2357882234788466,1.008894458986243
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,0.95,23,0.23668942991512515,1.0127505556417475
P1,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.9699310659581849,1.0,25,0.2337095038818741,1.0
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.5,12,0.204171926555061,0.8736141370539106
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.55,14,0.23644806361005952,1.0117177935971726
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.6,15,0.23201650674907784,0.9927559765235223
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.65,16,0.2265739614259739,0.9694683256890282
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.7,17,0.24959298963721707,1.0679625153942012
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.75,19,0.2385278642776324,1.0206168782857614
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.8,20,0.23174415503684762,0.9915906336183066
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.85,21,0.24286380391342619,1.0391695668319036
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.9,22,0.23933232214995684,1.024059005623172
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.95,23,0.23271791833268374,0.995757187736398
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,1.0,25,0.2337095038818741,1.0
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.5,12,0.204171926555061,0.8736141370539106
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.55,14,0.23644806361005952,1.0117177935971726
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.6,15,0.23201650674907784,0.9927559765235223
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.65,16,0.2265739614259739,0.9694683256890282
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.7,17,0.24959298963721707,1.0679625153942012
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.75,19,0.2385278642776324,1.0206168782857614
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.8,20,0.23174415503684762,0.9915906336183066
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.85,21,0.24286380391342619,1.0391695668319036
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.9,22,0.23933232214995684,1.024059005623172
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,0.95,23,0.23271791833268374,0.995757187736398
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,1.004990495182642,1.0,25,0.2337095038818741,1.0
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,1.0029308211560908,0.5,12,0.204171926555061,0.8736141370539106
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,1.0029308211560908,0.55,14,0.23644806361005952,1.0117177935971726
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,1.0029308211560908,0.6,15,0.23201650674907784,0.9927559765235223
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,1.0029308211560908,0.65,16,0.2265739614259739,0.9694683256890282
