panel,system,arm,score_name,outcome_name,budget,n_selected,high_error_recall,selected_mean_error,overall_mean_error,error_lift,remaining_mean_error,remaining_error_reduction,oracle_mean_error,oracle_normalized_utility,utility_ci95_lower,utility_ci95_upper,utility_bootstrap_valid
P1,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,0.3,8,0.375,0.24798058879367446,0.2337095038818741,1.0610633486219436,0.2265739614259739,0.030531674310971774,0.46056646196973644,0.06290785626365114,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,0.1,3,0.0,0.16962940366100945,0.2337095038818741,0.7258130321766751,0.24286380391342624,-0.039169566831903826,0.6213185288539221,-0.16532148658170612,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,0.2,5,0.2,0.21539973437799267,0.2337095038818741,0.9216558625141069,0.23852786427763234,-0.020616878285761288,0.5660195673817822,-0.05509845025769578,-0.4099840481903638,0.40538715649773194,5000
P1,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,0.3,8,0.375,0.24798058879367446,0.2337095038818741,1.0610633486219436,0.2265739614259739,0.030531674310971774,0.46056646196973644,0.06290785626365114,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,0.1,3,0.0,0.16962940366100945,0.2337095038818741,0.7258130321766751,0.24286380391342624,-0.039169566831903826,0.6213185288539221,-0.16532148658170612,,,0
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,0.2,5,0.2,0.23369161938433364,0.2337095038818741,0.99992347552306,0.23371421032859527,-2.0138020247391636e-05,0.5660195673817822,-5.3818705795691374e-05,-0.38583852181707917,0.44285778501388195,5000
P1,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,0.3,8,0.375,0.24798058879367446,0.2337095038818741,1.0610633486219436,0.2265739614259739,0.030531674310971774,0.46056646196973644,0.06290785626365114,,,0
P1,PRESCRIBE,rmse_sensitivity,predicted_magnitude,rmse_mean_profile,0.1,3,0.3333333333333333,0.07604286447167394,0.05446989640283085,1.3960530401838973,0.05138804382156756,0.05657900574055661,0.11440304915110266,0.35995049617117214,,,0
P1,PRESCRIBE,rmse_sensitivity,predicted_magnitude,rmse_mean_profile,0.2,5,0.4,0.0637108080089092,0.05446989640283085,1.1696517198736236,0.05203807755912602,0.04464518944042726,0.10026640892028807,0.2017819938266216,-0.34241495317358106,0.818996057571071,5000
P1,PRESCRIBE,rmse_sensitivity,predicted_magnitude,rmse_mean_profile,0.3,8,0.25,0.05486741801723835,0.05446989640283085,1.0072980056996554,0.054271135595627094,0.0036490028498277934,0.08753743860870597,0.012021504710951095,,,0
P1,PRESCRIBE,rmse_sensitivity,risk_aleatoric,rmse_mean_profile,0.1,3,0.0,0.04771921224892137,0.05446989640283085,0.8760657794539399,0.055434279853389355,-0.017704888649437315,0.11440304915110266,-0.11263689367825122,,,0
P1,PRESCRIBE,rmse_sensitivity,risk_aleatoric,rmse_mean_profile,0.2,5,0.2,0.06397376172244547,0.05446989640283085,1.1744792251729104,0.05196887921345858,0.04591558557181851,0.10026640892028807,0.20752377849714718,-0.3930959833548397,0.6504053251400095,5000
P1,PRESCRIBE,rmse_sensitivity,risk_aleatoric,rmse_mean_profile,0.3,8,0.375,0.05915969866327937,0.05446989640283085,1.0860989752167913,0.052124995272606583,0.04304948760839572,0.08753743860870597,0.14182494215174193,,,0
P1,PRESCRIBE,rmse_sensitivity,risk_combined,rmse_mean_profile,0.1,3,0.0,0.04771921224892137,0.05446989640283085,0.8760657794539399,0.055434279853389355,-0.017704888649437315,0.11440304915110266,-0.11263689367825122,,,0
P1,PRESCRIBE,rmse_sensitivity,risk_combined,rmse_mean_profile,0.2,5,0.0,0.04582133553922174,0.05446989640283085,0.8412231079044308,0.05674583347220166,-0.04178339265672866,0.10026640892028807,-0.1888475865997952,-0.4933089857636449,0.5125215960860247,5000
P1,PRESCRIBE,rmse_sensitivity,risk_combined,rmse_mean_profile,0.3,8,0.25,0.05494256154634055,0.05446989640283085,1.0086775480535912,0.054233563831076,0.00433877402679562,0.08753743860870597,0.014293930300804837,,,0
P1,PRESCRIBE,rmse_sensitivity,risk_epistemic,rmse_mean_profile,0.1,3,0.0,0.04771921224892137,0.05446989640283085,0.8760657794539399,0.055434279853389355,-0.017704888649437315,0.11440304915110266,-0.11263689367825122,,,0
P1,PRESCRIBE,rmse_sensitivity,risk_epistemic,rmse_mean_profile,0.2,5,0.0,0.04582133553922174,0.05446989640283085,0.8412231079044308,0.056745833472201676,-0.04178339265672892,0.10026640892028807,-0.1888475865997952,-0.4977702344937311,0.46182430275272496,5000
P1,PRESCRIBE,rmse_sensitivity,risk_epistemic,rmse_mean_profile,0.3,8,0.25,0.05494256154634055,0.05446989640283085,1.0086775480535912,0.054233563831076,0.00433877402679562,0.08753743860870597,0.014293930300804837,,,0
P2,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,family_rms_error,0.1,3,0.6666666666666666,0.08765358734570124,0.053818862704134864,1.628677808142662,0.048985330612482524,0.08981111544895175,0.09026988520646445,0.9282242943775856,,,0
P2,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,family_rms_error,0.2,5,0.6,0.07589063822288723,0.053818862704134864,1.4101122619422541,0.04801050072551583,0.10792427945848768,0.08139614520224182,0.8003607868276175,0.18577107660923725,1.0,5000
P2,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,family_rms_error,0.3,8,0.5,0.06435392635563814,0.053818862704134864,1.1957503953477981,0.04855133087838324,0.09787519767389892,0.07377274426595883,0.5279706416449369,,,0
P2,GEARS-UQ,same_prediction_family_rms,predicted_magnitude,family_rms_error,0.1,3,0.3333333333333333,0.07267011632233274,0.053818862704134864,1.350272240456496,0.051125826472963765,0.05003889149378467,0.09026988520646445,0.5171666615660258,,,0
P2,GEARS-UQ,same_prediction_family_rms,predicted_magnitude,family_rms_error,0.2,5,0.2,0.06222275335612339,0.053818862704134864,1.1561513980365636,0.051607312532558944,0.04109247316751656,0.08139614520224182,0.3047396222802379,-0.09583795549649636,0.906372544254756,5000
P2,GEARS-UQ,same_prediction_family_rms,predicted_magnitude,family_rms_error,0.3,8,0.5,0.06107653989718352,0.053818862704134864,1.1348537822686293,0.050190024107610545,0.06742689113431447,0.07377274426595883,0.36372257550802267,,,0
P2,GEARS-UQ,same_prediction_family_rms,seed_disagreement,family_rms_error,0.1,3,0.0,0.05267844051035831,0.053818862704134864,0.978809990838232,0.05398178016038867,-0.003027144165967061,0.09026988520646445,-0.031286425331516224,,,0
P2,GEARS-UQ,same_prediction_family_rms,seed_disagreement,family_rms_error,0.2,5,0.2,0.05412752266878886,0.053818862704134864,1.0057351632707445,0.05373763639764698,0.0015092534923009414,0.08139614520224182,0.011192544612587781,-0.3044663448407359,0.6245576734437133,5000
P2,GEARS-UQ,same_prediction_family_rms,seed_disagreement,family_rms_error,0.3,8,0.25,0.05530002525440505,0.053818862704134864,1.0275212532530233,0.053078281428999785,0.01376062662651138,0.07377274426595883,0.07422929446990228,,,0
P2,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.1,3,0.0,0.11869753246649944,0.11880840331540167,0.9990668097053043,0.118824242008102,-0.00013331289924235973,0.1974551281598482,-0.001409732561928219,,,0
P2,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.2,5,0.2,0.10646291125781293,0.11880840331540167,0.8960890668245489,0.12205721701476714,-0.027344982414592496,0.18124356966534866,-0.19773298894396588,-0.5130687451389582,0.39624007397501976,5000
P2,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.3,8,0.375,0.11454101174415568,0.11880840331540167,0.9640817362058363,0.12094209910102469,-0.017959131897082026,0.1675659381579539,-0.08752270977247406,,,0
P2,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.1,3,0.0,0.1280911702097813,0.11880840331540167,1.078132241788795,0.11748229375906172,0.011161748826970748,0.1974551281598482,0.11803119472221889,,,0
P2,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.2,5,0.2,0.12857601652692346,0.11880840331540167,1.0822131510815074,0.11623797878605384,0.02163503975829137,0.18124356966534866,0.15644409685360097,-0.1984552041298312,0.6582376611670907,5000
P2,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.3,8,0.375,0.12456765539937514,0.11880840331540167,1.048475124008563,0.11592877727341497,0.02423756200428125,0.1675659381579539,0.11812024751807579,,,0
P2,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.1,3,0.0,0.11869753246649944,0.11880840331540167,0.9990668097053043,0.118824242008102,-0.00013331289924235973,0.1974551281598482,-0.001409732561928219,,,0
P2,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.2,5,0.2,0.10646291125781293,0.11880840331540167,0.8960890668245489,0.12205721701476717,-0.02734498241459273,0.18124356966534866,-0.19773298894396588,-0.4699850728048406,0.4328150494965275,5000
P2,GEARS-scGPT pair,posthoc_pair,risk_scgpt_predicted_magnitude,task_mean_rmse,0.3,8,0.25,0.11015207941761414,0.11880840331540167,0.9271404744426409,0.12313656526429546,-0.03642976277867977,0.1675659381579539,-0.17753817796040186,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.1,3,0.0,0.16976776675157393,0.3972135479635927,0.4273967180171163,0.42970580242245254,-0.0818004688546977,1.256476638721409,-0.26469865127271536,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.2,5,0.0,0.21424656926582336,0.3972135479635927,0.539373771021175,0.4453627528840583,-0.1212174286786381,1.0084395201891916,-0.2993442474827258,-0.4892982761374837,0.16876404145117802,5000
P2,PRESCRIBE,paper_effect_pearson_primary,aleatoric_confidence,one_minus_pearson_effect_accuracy,0.3,8,0.25,0.3741585091703729,0.3972135479635927,0.9419580754195903,0.40874106736020266,-0.029020962290204986,0.794058065702699,-0.05809589842532901,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,0.1,3,0.3333333333333333,0.7280130913853599,0.3972135479635927,1.8328002534598522,0.3499564703319117,0.11897146477997889,1.256476638721409,0.38498051060243105,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,0.2,5,0.6,0.6356246592003648,0.3972135479635927,1.6002089114508855,0.3344737818486527,0.15794971353970674,1.0084395201891916,0.39005396051589314,-0.06739989748128866,0.9999999999999996,5000
P2,PRESCRIBE,paper_effect_pearson_primary,combined_confidence,one_minus_pearson_effect_accuracy,0.3,8,0.625,0.4849299666240352,0.3972135479635927,1.2208293727898785,0.3533553386333715,0.11041468639493918,0.794058065702699,0.2210347245318608,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,0.1,3,0.3333333333333333,0.7280130913853599,0.3972135479635927,1.8328002534598522,0.3499564703319117,0.11897146477997889,1.256476638721409,0.38498051060243105,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,0.2,5,0.6,0.6356246592003648,0.3972135479635927,1.6002089114508855,0.3344737818486527,0.15794971353970674,1.0084395201891916,0.39005396051589314,-0.060061672288435675,0.9999999999999996,5000
P2,PRESCRIBE,paper_effect_pearson_primary,epistemic_confidence,one_minus_pearson_effect_accuracy,0.3,8,0.625,0.4849299666240352,0.3972135479635927,1.2208293727898785,0.35335533863337143,0.11041468639493932,0.794058065702699,0.2210347245318608,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,0.1,3,0.3333333333333333,0.7280130913853599,0.3972135479635927,1.8328002534598522,0.3499564703319117,0.11897146477997889,1.256476638721409,0.38498051060243105,,,0
P2,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,0.2,5,0.6,0.6356246592003648,0.3972135479635927,1.6002089114508855,0.3344737818486527,0.15794971353970674,1.0084395201891916,0.39005396051589314,-0.06363857318316352,0.9999999999999996,5000
P2,PRESCRIBE,paper_effect_pearson_primary,predicted_magnitude,one_minus_pearson_effect_accuracy,0.3,8,0.625,0.4849299666240352,0.3972135479635927,1.2208293727898785,0.35335533863337143,0.11041468639493932,0.794058065702699,0.2210347245318608,,,0
P2,PRESCRIBE,rmse_sensitivity,predicted_magnitude,rmse_mean_profile,0.1,3,0.6666666666666666,0.11587091535329813,0.06304870825260873,1.8377999893202221,0.05550267866679597,0.11968571276003159,0.14478406310081476,0.6462589805695175,,,0
P2,PRESCRIBE,rmse_sensitivity,predicted_magnitude,rmse_mean_profile,0.2,5,0.4,0.0888562865555286,0.06304870825260873,1.4093276296719695,0.05625724027815613,0.10771779728209732,0.12650459408760067,0.4067010957821758,-0.42369578634646393,0.8927453910344536,5000
P2,PRESCRIBE,rmse_sensitivity,predicted_magnitude,rmse_mean_profile,0.3,8,0.375,0.07691252930089826,0.06304870825260873,1.219890643797859,0.056116797728463966,0.10994532189892964,0.1085643339902162,0.304594758912311,,,0
P2,PRESCRIBE,rmse_sensitivity,risk_aleatoric,rmse_mean_profile,0.1,3,0.0,0.037946643928686734,0.06304870825260873,0.6018623534149351,0.06663471744174045,-0.05687680665500922,0.14478406310081476,-0.3071139089142029,,,0
P2,PRESCRIBE,rmse_sensitivity,risk_aleatoric,rmse_mean_profile,0.2,5,0.0,0.0380487814545631,0.06304870825260873,0.6034823315034178,0.0696276363573576,-0.10434675486752176,0.12650459408760067,-0.39397333232498577,-0.6757959925505412,-0.15722161458451608,5000
P2,PRESCRIBE,rmse_sensitivity,risk_aleatoric,rmse_mean_profile,0.3,8,0.0,0.03925138432532545,0.06304870825260873,0.6225565188118087,0.07494737021625036,-0.18872174059409544,0.1085643339902162,-0.5228385536095279,,,0
P2,PRESCRIBE,rmse_sensitivity,risk_combined,rmse_mean_profile,0.1,3,0.0,0.061183663705984694,0.06304870825260873,0.9704189887737015,0.06331514318784073,-0.0042258587466139684,0.14478406310081476,-0.02281808833016862,,,0
P2,PRESCRIBE,rmse_sensitivity,risk_combined,rmse_mean_profile,0.2,5,0.2,0.0720816776156425,0.06304870825260873,1.1432696975621228,0.06067161105181037,0.0377025519900324,0.12650459408760067,0.14235037844279302,-0.35593189358839766,0.6288257337489785,5000
P2,PRESCRIBE,rmse_sensitivity,risk_combined,rmse_mean_profile,0.3,8,0.375,0.05603839084506031,0.06304870825260873,0.888811085875683,0.06655386695638293,-0.055594457062158265,0.1085643339902162,-0.15402001607013227,,,0
P2,PRESCRIBE,rmse_sensitivity,risk_epistemic,rmse_mean_profile,0.1,3,0.0,0.061183663705984694,0.06304870825260873,0.9704189887737015,0.06331514318784073,-0.0042258587466139684,0.14478406310081476,-0.02281808833016862,,,0
P2,PRESCRIBE,rmse_sensitivity,risk_epistemic,rmse_mean_profile,0.2,5,0.2,0.0720816776156425,0.06304870825260873,1.1432696975621228,0.06067161105181037,0.0377025519900324,0.12650459408760067,0.14235037844279302,-0.35287155743291954,0.614478286344502,5000
P2,PRESCRIBE,rmse_sensitivity,risk_epistemic,rmse_mean_profile,0.3,8,0.375,0.05603839084506031,0.06304870825260873,0.888811085875683,0.06655386695638293,-0.055594457062158265,0.1085643339902162,-0.15402001607013227,,,0
