target,history_mode,fraction,seed,k_sources,scope,method,budget,spearman,n_tasks,coverage,utility,capture,remaining_relative_error
K562,fraction,0.25,11,3,all,disagreement,0.3,0.5355092797746026,580,1.0,0.515330005529611,0.37274141225832785,0.8960836967738174
K562,fraction,0.25,11,3,all,history_risk,0.1,0.45253312184391875,580,1.0,0.4285526397733918,0.1351078522342241,0.9609912752953065
K562,fraction,0.25,11,3,all,history_risk,0.2,0.45253312184391875,580,1.0,0.47764078957303396,0.2568461746249966,0.9289422817187543
K562,fraction,0.25,11,3,all,history_risk,0.3,0.45253312184391875,580,1.0,0.44545638841443763,0.3628784011120395,0.9101737126970864
K562,fraction,0.25,11,3,all,m_plus_d,0.1,0.9083987667838475,580,1.0,0.9134062892328929,0.17482799090715204,0.9168577878809423
K562,fraction,0.25,11,3,all,m_plus_d,0.2,0.9083987667838475,580,1.0,0.9192296462476254,0.3094016468689308,0.8632479414138364
K562,fraction,0.25,11,3,all,m_plus_d,0.3,0.9083987667838475,580,1.0,0.9334980490641323,0.43176792676671916,0.8117601046189726
K562,fraction,0.25,11,3,all,m_plus_history,0.1,0.9116478585267986,580,1.0,0.9571994435184471,0.17841560989916386,0.9128715445564847
K562,fraction,0.25,11,3,all,m_plus_history,0.2,0.9116478585267986,580,1.0,0.9317763641892836,0.31089488809675736,0.8613813898790534
K562,fraction,0.25,11,3,all,m_plus_history,0.3,0.9116478585267986,580,1.0,0.9330538597327781,0.43170522721705956,0.8118496754042006
K562,fraction,0.25,23,1,primary,magnitude,0.1,0.8992579621117099,566,0.8074204946996466,0.9485480829802301,0.17442893552854094,0.9180220481156106
K562,fraction,0.25,23,1,primary,magnitude,0.2,0.8992579621117099,566,0.8074204946996466,0.9337696931035814,0.309072757502704,0.8651876532156406
K562,fraction,0.25,23,1,primary,magnitude,0.3,0.8992579621117099,566,0.8074204946996466,0.9284130420476459,0.4280297491015706,0.8175130353750278
K562,fraction,0.25,23,1,primary,disagreement,0.1,0.5338684397879495,566,0.8074204946996466,0.4711404345877028,0.13732427720882315,0.9592818449897959
K562,fraction,0.25,23,1,primary,disagreement,0.2,0.5338684397879495,566,0.8074204946996466,0.46874366260095063,0.25545740543170825,0.9323254613399407
K562,fraction,0.25,23,1,primary,disagreement,0.3,0.5338684397879495,566,0.8074204946996466,0.5270583998901305,0.3728350131521123,0.8964024812017787
K562,fraction,0.25,23,1,primary,history_risk,0.1,0.22873446545856568,566,0.8074204946996466,0.09902865853068271,0.10840333228088012,0.9914414811965067
K562,fraction,0.25,23,1,primary,history_risk,0.2,0.22873446545856568,566,0.8074204946996466,-0.13054202290471428,0.18636253565685912,1.0188469133146412
K562,fraction,0.25,23,1,primary,history_risk,0.3,0.22873446545856568,566,0.8074204946996466,0.06527939110327466,0.3093306512242635,0.9871688166845122
K562,fraction,0.25,23,1,primary,m_plus_d,0.1,0.9082345831777897,566,0.8074204946996466,0.8945595607747561,0.17023288698100375,0.9226879881507895
K562,fraction,0.25,23,1,primary,m_plus_d,0.2,0.9082345831777897,566,0.8074204946996466,0.9176881784190825,0.30721863318473336,0.8675094106580552
K562,fraction,0.25,23,1,primary,m_plus_d,0.3,0.9082345831777897,566,0.8074204946996466,0.9288693703822125,0.4280925038807287,0.8174233404128978
K562,fraction,0.25,23,1,primary,m_plus_history,0.1,0.9028944294444237,566,0.8074204946996466,0.8930677032185226,0.1701169381371339,0.922816921442794
K562,fraction,0.25,23,1,primary,m_plus_history,0.2,0.9028944294444237,566,0.8074204946996466,0.9260681340391278,0.3081848033374502,0.8662995604225734
K562,fraction,0.25,23,1,primary,m_plus_history,0.3,0.9028944294444237,566,0.8074204946996466,0.9243290141019359,0.42746810904463267,0.8183157835372169
K562,fraction,0.25,23,1,all,magnitude,0.1,0.900131032822169,580,0.8051724137931034,0.9609857583039885,0.17872579205105382,0.9125268977210513
K562,fraction,0.25,23,1,all,magnitude,0.2,0.900131032822169,580,0.8051724137931034,0.9330814158108366,0.311050208148966,0.8611872398137925
K562,fraction,0.25,23,1,all,magnitude,0.3,0.900131032822169,580,0.8051724137931034,0.9314668231235753,0.4314812090480798,0.8121697013598861
K562,fraction,0.25,23,1,all,disagreement,0.1,0.5355092797746026,580,0.8051724137931034,0.4508587715970891,0.13693521323332467,0.9589608741851948
K562,fraction,0.25,23,1,all,disagreement,0.2,0.5355092797746026,580,0.8051724137931034,0.4826523495050408,0.25744262287074454,0.9281967214115693
K562,fraction,0.25,23,1,all,disagreement,0.3,0.5355092797746026,580,0.8051724137931034,0.515330005529611,0.37274141225832785,0.8960836967738174
K562,fraction,0.25,23,1,all,history_risk,0.1,0.24047336644877065,580,0.8051724137931034,0.1526046797954941,0.11250166735956701,0.9861092584893699
K562,fraction,0.25,23,1,all,history_risk,0.2,0.24047336644877065,580,0.8051724137931034,-0.04288622130594722,0.19489591827460256,1.006380102156747
K562,fraction,0.25,23,1,all,history_risk,0.3,0.24047336644877065,580,0.8051724137931034,0.08468358238498279,0.3119535119470627,0.9829235543613389
K562,fraction,0.25,23,1,all,m_plus_d,0.1,0.9083987667838475,580,0.8051724137931034,0.9134062892328929,0.17482799090715204,0.9168577878809423
K562,fraction,0.25,23,1,all,m_plus_d,0.2,0.9083987667838475,580,0.8051724137931034,0.9192296462476254,0.3094016468689308,0.8632479414138364
