source_fraction,repeat_seed,source_n_tasks_used,n_target_tasks,spearman_vs_error,top20_error_enrichment,top20_k,mean_error_combined_rmse,mean_source_support,shared_perturbation_tasks,pair_group,source_dataset,target_dataset,directional_pair,n_common_genes,source_n_tasks_full,target_n_tasks_full
0.25,2,3,8,0.7142857142857144,1.243183520248863,2,0.06283666262919382,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,3,3,8,0.7380952380952381,1.2067697013773786,2,0.06351737050904113,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,4,3,8,0.7142857142857144,1.4687232371064578,2,0.06785539608128219,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,5,3,8,0.7857142857142858,1.5981700552274436,2,0.067934784670449,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,6,3,8,0.7380952380952381,1.2067697013773786,2,0.06351737050904113,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,7,3,8,0.7380952380952381,1.5297523889604692,2,0.06580140990590497,3.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,0,4,8,0.8333333333333335,1.72523819149353,2,0.06450222385058663,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,1,4,8,0.7857142857142858,1.6109599014793192,2,0.06285657491222175,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,2,4,8,0.9285714285714287,1.6825515836720693,2,0.06034079403537777,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,3,4,8,0.7142857142857144,1.2762372232540784,2,0.060917772391419746,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,4,4,8,0.7857142857142858,1.6109599014793192,2,0.06285657491222175,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,5,4,8,0.8095238095238096,1.7271137603390476,2,0.06360884318480993,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,6,4,8,0.07142857142857144,0.37101397916264706,2,0.08293176497566376,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.5,7,4,8,0.7380952380952381,1.238656651765897,2,0.061139326668404395,4.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,0,6,8,0.7619047619047621,2.046722973245393,2,0.055422623512008995,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,1,6,8,0.6190476190476191,1.1627701366786405,2,0.05455164609846598,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
