dataset,fold_id,setting,train_fraction,rule,n_tasks,spearman,utility_20,capture_20,remaining_error_80,outer_heldout_study
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_unseen_row,0.75,fixed_80m_20s,32,0.5913298530930141,0.6225135603478259,0.25137176176446885,0.1083510913495021,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,context_unseen_row,1.0,fixed_80m_20s,32,0.5938960706823824,0.5391886036680917,0.24283011720646872,0.10702699603011002,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,perturbation_unseen_column,0.25,fixed_80m_20s,45,-0.23386034255599472,-0.22462691924149178,0.17286548860674744,0.12049799608982685,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,perturbation_unseen_column,0.5,fixed_80m_20s,45,-0.013703142529243355,-0.19181545498031385,0.17811772050373598,0.11839381647384999,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,perturbation_unseen_column,0.75,fixed_80m_20s,45,0.3166216490170364,0.013850301483099622,0.2015284049438668,0.11342146556571156,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,perturbation_unseen_column,1.0,fixed_80m_20s,45,0.29397812878754775,-0.16666602998812757,0.1812950012032203,0.11555634112259708,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,0.25,fixed_80m_20s,16,0.6470588235294118,0.08096855293253981,0.25739162213212885,0.1194720350988782,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,0.5,fixed_80m_20s,16,0.7264705882352941,0.05684343136309969,0.25503087192577356,0.11818473333173946,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,0.75,fixed_80m_20s,16,0.7029411764705883,1.0000000000000004,0.3586024262343754,0.10059276888966057,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,1.0,fixed_80m_20s,16,0.55,1.0,0.34823636003868336,0.0993452732822628,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,0.25,fixed_80m_20s,9,-0.43333333333333335,-0.36549909854848456,0.19490207037435991,0.11929201045633069,Cui_direct41
