dataset,fold_id,train_fraction,setting,score,budget,n_tasks,spearman,review_utility
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,disagreement,0.29999999999999999,9,-0.43333333333333335,-0.59270686184910348
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf_m,0.050000000000000003,9,0.32636268941473195,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf_m,0.10000000000000001,9,0.32636268941473195,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf_m,0.20000000000000001,9,0.32636268941473195,0.74153482819258398
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_and_perturbation_unseen,safeconf_m,0.29999999999999999,9,0.32636268941473195,0.55780471378749474
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,magnitude,0.050000000000000003,32,0.79655425219941345,0.6436841505308426
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,magnitude,0.10000000000000001,32,0.79655425219941345,0.71222709998474742
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,magnitude,0.20000000000000001,32,0.79655425219941345,0.7043982986012024
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,magnitude,0.29999999999999999,32,0.79655425219941345,0.85182990321873986
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf,0.050000000000000003,32,0.71590909090909083,0.8460181110373709
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf,0.10000000000000001,32,0.71590909090909083,0.81914641585632075
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf,0.20000000000000001,32,0.71590909090909083,0.86249070248919779
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf,0.29999999999999999,32,0.71590909090909083,0.89411030087786869
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,disagreement,0.050000000000000003,32,0.66568914956011727,0.8460181110373709
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,disagreement,0.10000000000000001,32,0.66568914956011727,0.84609594650007058
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,disagreement,0.20000000000000001,32,0.66568914956011727,0.86249070248919701
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,disagreement,0.29999999999999999,32,0.66568914956011727,0.90503933986369667
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf_m,0.050000000000000003,32,0.78826765760803819,0.6436841505308426
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf_m,0.10000000000000001,32,0.78826765760803819,0.71222709998474742
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf_m,0.20000000000000001,32,0.78826765760803819,0.70439829860120162
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,context_unseen_row,safeconf_m,0.29999999999999999,32,0.78826765760803819,0.93740030220984127
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,magnitude,0.050000000000000003,45,-0.12028985507246374,-0.14920102625361931
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,magnitude,0.10000000000000001,45,-0.12028985507246374,-0.10482956662914521
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,magnitude,0.20000000000000001,45,-0.12028985507246374,-0.19883842083388786
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,magnitude,0.29999999999999999,45,-0.12028985507246374,-0.20236286522612468
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf,0.050000000000000003,45,-0.014097496706192357,0.0041490742436826236
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf,0.10000000000000001,45,-0.014097496706192357,-0.036634079260342803
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf,0.20000000000000001,45,-0.014097496706192357,-0.12550274635406178
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf,0.29999999999999999,45,-0.014097496706192357,-0.10269874228828643
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,disagreement,0.050000000000000003,45,-0.042160737812911728,0.11880652773604046
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,disagreement,0.10000000000000001,45,-0.042160737812911728,0.17269993841569253
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,disagreement,0.20000000000000001,45,-0.042160737812911728,-0.12466677832043857
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,disagreement,0.29999999999999999,45,-0.042160737812911728,-0.14385449112939253
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf_m,0.050000000000000003,45,-0.10903221579758535,-0.35568326784832865
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf_m,0.10000000000000001,45,-0.10903221579758535,-0.10482956662914521
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf_m,0.20000000000000001,45,-0.10903221579758535,-0.24434105885847354
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,perturbation_unseen_column,safeconf_m,0.29999999999999999,45,-0.10903221579758535,-0.32359560703416834
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,random_missing_pair,magnitude,0.050000000000000003,16,0.81176470588235283,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,random_missing_pair,magnitude,0.10000000000000001,16,0.81176470588235283,0.72043594628636864
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.75,random_missing_pair,magnitude,0.20000000000000001,16,0.81176470588235283,0.77685062317298004
