fold_id,task_key,model_disagreement_rmse,model_disagreement_cosine
1,ACH-000932||Tofacitinib@5.0uM,0.1449169306817115,0.05848474246670665
1,ACH-000940||Binimetinib@0.05uM,0.21584673754974498,0.2504785025833275
1,ACH-000950||Trametinib@0.5uM,0.27024623146484006,0.17893213058926183
1,ACH-000958||Regorafenib@0.05uM,0.10272019845980539,0.13413406293978525
1,ACH-001333||Daidzin@5.0uM,0.16732300777724635,0.2556363720430901
1,ACH-001333||Trametinib (DMSO_TF solvate)@0.5uM,0.1327466141433707,0.12197886840427596
2,ACH-000138||Binimetinib@5.0uM,0.28933338757184407,0.16016196982534014
2,ACH-000139||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
2,ACH-000164||Demeclocycline@5.0uM,0.35923124652648564,0.08786914494922915
2,ACH-000164||Docetaxel@5.0uM,0.23077289858664557,0.12581189173655616
2,ACH-000164||Fluvoxamine (maleate)@5.0uM,0.2990284302099615,0.09333882360748225
2,ACH-000164||Goserelin (acetate)@5.0uM,0.2773347530861674,0.09421466752531593
2,ACH-000236||Diammonium Glycyrrhizinate@5.0uM,0.20344483227481078,0.1268326609331598
2,ACH-000236||Elagolix sodium@5.0uM,0.11293696992175009,0.10836271670267439
2,ACH-000236||Olanzapine@5.0uM,0.27633266212291496,0.051293898825653605
2,ACH-000236||Raltitrexed@5.0uM,0.1730008776351231,0.04396322992060919
2,ACH-000236||Sinomenine@5.0uM,0.30446683948775155,0.0822162020558117
2,ACH-000236||Tucidinostat@5.0uM,0.26436219521152077,0.06929912117271719
2,ACH-000311||Elagolix sodium@5.0uM,0.11293696992175009,0.10836271670267439
2,ACH-000311||Homoharringtonine@5.0uM,0.3169339826281537,0.04060176863924936
2,ACH-000311||Mitoxantrone (dihydrochloride)@5.0uM,0.1971360880633712,0.20135778289022743
2,ACH-000311||Pyridoxine@5.0uM,0.09101122469666112,0.08748446061743287
2,ACH-000463||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
2,ACH-000521||Binimetinib@0.05uM,0.2926816748822074,0.32597147487078015
2,ACH-000552||Adagrasib@0.05uM,0.02776776381112938,0.01850280503277113
2,ACH-000552||Afatinib@5.0uM,0.2207032522944575,0.09756147615768695
2,ACH-000555||Daidzin@5.0uM,0.17773472216246394,0.28722870399713185
2,ACH-000580||Raltitrexed@5.0uM,0.1730008776351231,0.04396322992060919
2,ACH-000580||Riluzole hydrochloride@5.0uM,0.1174919012781544,0.10590705205123296
2,ACH-000580||Rimonabant@5.0uM,0.21073118035045046,0.04580186467200198
2,ACH-000580||Sulfisoxazole@5.0uM,0.1616642828674818,0.04671814884224268
2,ACH-000628||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
2,ACH-000750||Hexylresorcinol@5.0uM,0.23835535658769152,0.06802343208902517
2,ACH-000750||Radotinib@5.0uM,0.17562643079441106,0.052998942789912684
2,ACH-000750||Resveratrol@5.0uM,0.18296362450401385,0.04208797231339079
2,ACH-000790||Pravastatin (sodium)@0.5uM,0.08392591516334869,0.12464802362044047
2,ACH-000853||Afatinib@0.05uM,0.17183259484932678,0.4124558540275445
2,ACH-000916||Berbamine (dihydrochloride)@5.0uM,0.1553115621022372,0.1213168349123318
2,ACH-000916||Daidzin@0.05uM,0.17917773725552108,0.24452633064012563
2,ACH-000932||Ritonavir@5.0uM,0.18175866012165998,0.04409740531293305
2,ACH-000932||Sinomenine@5.0uM,0.30446683948775155,0.0822162020558117
2,ACH-000932||Triclosan@5.0uM,0.0726380974313067,0.07546914302400953
2,ACH-000932||Tucidinostat@5.0uM,0.26436219521152077,0.06929912117271719
2,ACH-000943||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
2,ACH-000943||Binimetinib@0.05uM,0.2926816748822074,0.32597147487078015
2,ACH-000950||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
2,ACH-000957||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
2,ACH-000957||Afatinib@0.5uM,0.21694987980797317,0.6984572813337344
2,ACH-000958||Malotilate@0.05uM,0.1368020170588032,0.06078378945140972
2,ACH-000958||Pralsetinib@0.05uM,0.20613775200338952,0.39492579872642164
2,ACH-000997||Afatinib@0.5uM,0.21694987980797317,0.6984572813337344
2,NA||Adagrasib@0.05uM,0.033579262361178724,0.027530809403493284
