dataset,geometry,check,target_family_id,value,threshold,pass
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3409,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3409,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3409,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_flat,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_governed,0.0,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B3_overweight_scgpt_governed,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_gears_flat,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_gears_governed,0.0,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,B3_overweight_gears_governed,5.551115123125783e-17,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,C1_add_zero_portfolio,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,C2_add_source_portfolio,2.220446049250313e-16,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,C3_add_zero_source_portfolio,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,C4_symmetric_attack_lambda1,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,C4_symmetric_attack_lambda2,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,C4_symmetric_attack_lambda4,0.0,1e-12,True
E190_K562,absolute_rmse,symmetric_attack_embedding_centroid_unchanged,C4_symmetric_attack_lambda1,1.3877787807814457e-17,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_diversity_formula,C4_symmetric_attack_lambda1,6.938893903907228e-18,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_embedding_centroid_unchanged,C4_symmetric_attack_lambda2,1.3877787807814457e-17,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_diversity_formula,C4_symmetric_attack_lambda2,2.7755575615628914e-17,1e-10,True
