analysis_id,scheme,n_replicates,n_finite,bootstrap_mean,ci_low,ci_high,ci_estimable
risk__matching__constant_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__raw_direction_accuracy_sensitivity,task,10000,0,,,,False
risk__matching__constant_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__constant_confidence__raw_negative_rmse_sensitivity,task,10000,0,,,,False
risk__matching__constant_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_pearson_accuracy,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_cosine_accuracy,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_direction_accuracy,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_direction_accuracy,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_negative_rmse,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__pca10_negative_rmse,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_pearson_accuracy_sensitivity,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_cosine_accuracy_sensitivity,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_direction_accuracy_sensitivity,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_negative_rmse_sensitivity,task,10000,0,,,,False
risk__matching__exact_pair_support_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__raw_log_prob__pca10_pearson_accuracy,task,10000,10000,-0.20511127313743183,-0.4782251728618114,0.08652764542386333,True
risk__native_seed3407__raw_log_prob__pca10_pearson_accuracy,component_gene_cluster,10000,10000,-0.21403328832179896,-0.4713105010471472,0.058508932457695575,True
risk__native_seed3407__raw_log_prob__pca10_cosine_accuracy,task,10000,10000,-0.19246204395620953,-0.47599541469200346,0.10980200696365504,True
risk__native_seed3407__raw_log_prob__pca10_cosine_accuracy,component_gene_cluster,10000,10000,-0.20470118546982427,-0.47266583202390466,0.07660163974622285,True
risk__native_seed3407__raw_log_prob__pca10_direction_accuracy,task,10000,10000,-0.05518895969927946,-0.36140796872358844,0.24661381084952655,True
risk__native_seed3407__raw_log_prob__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.06814430587037931,-0.38404524370585946,0.22891303864308918,True
risk__native_seed3407__raw_log_prob__pca10_negative_rmse,task,10000,10000,-0.19246204395620953,-0.47599541469200346,0.10980200696365504,True
risk__native_seed3407__raw_log_prob__pca10_negative_rmse,component_gene_cluster,10000,10000,-0.20470118546982427,-0.47266583202390466,0.07660163974622285,True
risk__native_seed3407__raw_log_prob__raw_pearson_accuracy_sensitivity,task,10000,10000,-0.3044438533387242,-0.5436041768640887,-0.03396755623414403,True
risk__native_seed3407__raw_log_prob__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.3104263209786269,-0.5420682673131215,-0.056218825471139405,True
risk__native_seed3407__raw_log_prob__raw_cosine_accuracy_sensitivity,task,10000,10000,-0.30072938170007785,-0.5442966817251661,-0.025988014222821196,True
risk__native_seed3407__raw_log_prob__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.3069106998161105,-0.5464533394945232,-0.04767376890327031,True
risk__native_seed3407__raw_log_prob__raw_direction_accuracy_sensitivity,task,10000,10000,-0.2143471860916417,-0.49475087228746334,0.07998146250333552,True
risk__native_seed3407__raw_log_prob__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.22200578689261366,-0.491276299273805,0.06624967105274701,True
risk__native_seed3407__raw_log_prob__raw_negative_rmse_sensitivity,task,10000,10000,-0.20311630165496358,-0.48335149814392603,0.09540687919060117,True
risk__native_seed3407__raw_log_prob__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,-0.2147174371465393,-0.47958613546250417,0.06367773997752024,True
risk__native_seed3407__official_combined_confidence__pca10_pearson_accuracy,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_cosine_accuracy,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_direction_accuracy,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_direction_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_negative_rmse,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__pca10_negative_rmse,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_pearson_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_cosine_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_direction_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_negative_rmse_sensitivity,task,10000,0,,,,False
risk__native_seed3407__official_combined_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_pearson_accuracy,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_cosine_accuracy,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_direction_accuracy,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_direction_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_negative_rmse,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__pca10_negative_rmse,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_pearson_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_cosine_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_direction_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_negative_rmse_sensitivity,task,10000,0,,,,False
risk__native_seed3407__predicted_magnitude_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__raw_log_prob__pca10_pearson_accuracy,task,10000,10000,0.02265321086008945,-0.3009050063247656,0.34846334856971006,True
risk__native_seed3408__raw_log_prob__pca10_pearson_accuracy,component_gene_cluster,10000,10000,0.01195379253108776,-0.2933536489160077,0.28892691502093876,True
risk__native_seed3408__raw_log_prob__pca10_cosine_accuracy,task,10000,10000,0.03575956990376001,-0.28962709905231676,0.3642007062766121,True
risk__native_seed3408__raw_log_prob__pca10_cosine_accuracy,component_gene_cluster,10000,10000,0.023980612872233284,-0.2941686583133291,0.31046417279417926,True
risk__native_seed3408__raw_log_prob__pca10_direction_accuracy,task,10000,10000,-0.08156472336041516,-0.4050739660257389,0.27123454487233867,True
risk__native_seed3408__raw_log_prob__pca10_direction_accuracy,component_gene_cluster,10000,10000,-0.09290438940573024,-0.4621511436443437,0.2617336379194879,True
risk__native_seed3408__raw_log_prob__pca10_negative_rmse,task,10000,10000,0.03575956990376001,-0.28962709905231676,0.3642007062766121,True
risk__native_seed3408__raw_log_prob__pca10_negative_rmse,component_gene_cluster,10000,10000,0.023980612872233284,-0.2941686583133291,0.31046417279417926,True
risk__native_seed3408__raw_log_prob__raw_pearson_accuracy_sensitivity,task,10000,10000,-0.06167037579672779,-0.363990917096557,0.2555107177126462,True
risk__native_seed3408__raw_log_prob__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.06725012991836954,-0.3698495801852725,0.22088408579165894,True
risk__native_seed3408__raw_log_prob__raw_cosine_accuracy_sensitivity,task,10000,10000,-0.04693307816642575,-0.35067053572049384,0.2698691312742656,True
risk__native_seed3408__raw_log_prob__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.051498182480028604,-0.3635237148843473,0.2430210256561046,True
risk__native_seed3408__raw_log_prob__raw_direction_accuracy_sensitivity,task,10000,10000,-0.1057500868332244,-0.4432368412930924,0.26668998100375674,True
risk__native_seed3408__raw_log_prob__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,10000,-0.10816599022449977,-0.5234247888111936,0.2699484537586801,True
risk__native_seed3408__raw_log_prob__raw_negative_rmse_sensitivity,task,10000,10000,0.041214339739770865,-0.2889792525055781,0.3725664030693742,True
risk__native_seed3408__raw_log_prob__raw_negative_rmse_sensitivity,component_gene_cluster,10000,10000,0.03046245094160261,-0.28628606501774817,0.3135543627190234,True
risk__native_seed3408__official_combined_confidence__pca10_pearson_accuracy,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_pearson_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_cosine_accuracy,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_cosine_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_direction_accuracy,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_direction_accuracy,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_negative_rmse,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__pca10_negative_rmse,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_pearson_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_pearson_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_cosine_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_cosine_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_direction_accuracy_sensitivity,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_direction_accuracy_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_negative_rmse_sensitivity,task,10000,0,,,,False
risk__native_seed3408__official_combined_confidence__raw_negative_rmse_sensitivity,component_gene_cluster,10000,0,,,,False
risk__native_seed3408__predicted_magnitude_confidence__pca10_pearson_accuracy,task,10000,0,,,,False
