condition,n_full_cells,n_half_a,n_half_b,half_a_obs_name_sha256,half_b_obs_name_sha256,interpretation,raw_pearson,raw_pearson_na_reason,raw_cosine,raw_cosine_na_reason,raw_direction_accuracy,raw_mse,raw_rmse,raw_top20_pearson,raw_top20_pearson_na_reason,raw_top20_cosine,raw_top20_cosine_na_reason,raw_top20_direction_accuracy,raw_top20_mse,raw_top20_rmse,pca10_pearson,pca10_pearson_na_reason,pca10_cosine,pca10_cosine_na_reason,pca10_direction_accuracy,pca10_mse,pca10_rmse,pca10_top20_pearson,pca10_top20_pearson_na_reason,pca10_top20_cosine,pca10_top20_cosine_na_reason,pca10_top20_direction_accuracy,pca10_top20_mse,pca10_top20_rmse
FLI1+HDAC3,214,107,107,2ba136e8eb1df5fb21023ca0d866f3f8a51e5d3d3f5d4e935a043ec6b4b3ac2e,ac786315551f0c67df1cef0462f2f409f575644ab4ec2f0b81ccd3865db39984,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9363843943719717,,0.9332589780578973,,0.7217004448838359,0.0027669906204851663,0.05260219216425458,0.995274468682429,,0.9973993102143737,,1.0,0.0048341625933949256,0.06952814245609418,0.9797243553999183,,0.9755974400042303,,0.9406821552150272,0.0008362251183894592,0.02891755726871582,0.9983374849045319,,0.9993835683350735,,1.0,0.0008050893779428635,0.028374096953786274
FLI1+IKZF1,128,64,64,ac4c96bc05de309ddc96fff5c79c4fb79873c9730a896552a4ded97a2973e382,e897c1f40dff470dade434dfd3eaa3a6d25c9b58745a9b538f8d34682a491058,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8953141122443826,,0.8932884703626203,,0.7073652990608008,0.0048982538722466,0.06998752654756846,0.9910804578154887,,0.9927089274181581,,1.0,0.02236784883723757,0.14955884740541955,0.9840694956904993,,0.9797104941786611,,0.9495798319327731,0.0014537101355844048,0.0381275508731469,0.9968867759126168,,0.9968938472943191,,1.0,0.01484682536520586,0.12184754968896937
FLI1+INTS1,352,176,176,0d1b7471aa227e9f0e0c880703fca3bbb72e68fdb36ea0ba9f04086c476b3d52,76adaf3e5d42b0720d8f72873b77859203e17e6d3975342c39802e939aa2a861,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9408344218444771,,0.9402521701631175,,0.736035590706871,0.0013473526599195262,0.0367063027274544,0.9897565539205152,,0.9942821932644337,,1.0,0.0060200279063680655,0.07758883880022993,0.9856314371643151,,0.9853057934679615,,0.9530400395452299,0.000221393201828028,0.014879287678784492,0.9970517921880716,,0.9981557736769642,,1.0,0.0016781963731891305,0.04096579516119674
FLI1+MED24,335,168,167,e91454f293b6ea6d875fd2e089633ef646f5dab69cb90795ff7a767ad25fc3a2,335f7f7d4665ec9725b4ac25e8b55cf8a75a15f7a46470f70d84940cb6221c16,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9738950284851037,,0.9759910584122643,,0.7998022738507168,0.0015890133091107954,0.039862429794366466,0.9957855649258539,,0.9959734430874617,,1.0,0.006492274632766779,0.0805746525451198,0.9984152655118717,,0.9984260207147473,,0.9836875926841325,0.0001238775850419277,0.011130030774527433,0.999771870402637,,0.9997472945429041,,1.0,0.0010008708723864468,0.03163654330653788
FLI1+RING1,182,91,91,bbfb6ab9aa81b6be6acab899a072d13c95ca24a2eeb1914beec4e0b93ef8d1f1,770ff2ff8ed826e9c7a1f5e4765e320e3c372d934cfb77ca73f811044785e083,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9326035446636575,,0.9335026797064323,,0.7385071675729116,0.0023922917003095213,0.04891105907981876,0.9928058678181778,,0.9940542760520605,,1.0,0.014561368722821072,0.12067049648866567,0.9879248694259569,,0.9877616684109135,,0.9565002471576866,0.0004024674426621331,0.020061591229564347,0.9972499133527833,,0.9976464117632373,,1.0,0.003644720251222454,0.06037151854328707
FLI1+SMARCD1,208,104,104,d343afc655d4ac351ba0cbb5e5b85ec59d7da660a041a5728e36477f4af12781,e9a7949d65fced5d7bab0d4c33544c7af81d849c722667bef71bc778d00a8775,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9373972267181968,,0.9403844228501954,,0.7711319822046465,0.0022518151181592327,0.04745329407068842,0.9934639373236328,,0.9930137094754568,,1.0,0.008995297225353359,0.09484354076769466,0.9905499686388549,,0.9908486952842144,,0.9644092931290164,0.00035137783220873584,0.018745074878717766,0.9978179786055781,,0.9978315317943744,,1.0,0.00336417248485724,0.05800148691936475
GATA2+GFI1,165,83,82,6a40db6234a5173479178e39611e9f40d26894174093be458a9bffcf154d8d0e,2aad03fd6c34bedc1c916172fca16cd7f952fc379f54fbfc4614cb08e62fd7a5,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9285171017097338,,0.9275666714528034,,0.7048937221947602,0.003616082156178793,0.06013386862807675,0.9955224984552125,,0.9973046480546751,,1.0,0.01013980850442748,0.1006966161518225,0.9828026568884032,,0.9805018337291544,,0.9060800790904597,0.0011191516455211087,0.033453723941007055,0.9985357824166763,,0.9990839886850421,,1.0,0.00585690876166261,0.07653044336512503
GATA2+IKZF1,167,84,83,dd6f4cbbe87836183ede464fec122821b1488684b53e52e435cd4bcc67a449e1,30073d1c4f1ef5a707de7d0e5aff4923ef48db52bb93352c6c354cec22d6b5d6,split_half_reproducibility_benchmark_reference_not_upper_bound,0.5943663733871691,,0.5927168098640414,,0.5912011863568957,0.003948844260273653,0.06283983020563991,0.9246846674575866,,0.9266622258284026,,1.0,0.02232599456748396,0.14941885613095812,0.8439779941895582,,0.8394880415615171,,0.8457736035590707,0.0012995590644070373,0.0360493975595576,0.9188807969389606,,0.9325766894992612,,1.0,0.01755969106506986,0.13251298451498955
GATA2+KDM1A,196,98,98,d3ac5dce318de9f9a371ad152bafd4289d19ba14d5e96805fa594da5e294472b,3c107b684866f95c0f4336dbd57cb53bd11f84467d6eae183143a416d7a0b53d,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9561424522689054,,0.9563031419891103,,0.7523479980227386,0.0025626822286832504,0.050622941722930824,0.9945853828292702,,0.9980242017217836,,1.0,0.01891121510271095,0.13751805373372236,0.996787294624049,,0.9966724312101626,,0.9747899159663865,0.0004768034410406609,0.021835829295922354,0.997618596130723,,0.9989662715395363,,1.0,0.015529904219833466,0.12461903634611153
GATA2+RCOR1,182,91,91,bba8492b06ea0e4844ddfd3533f1237b95c026e86125aa14b70bd5639e79cfbf,8088585164146eea0726ca7643a82920aaace4c62aeb0b7c5540ee3663df3118,split_half_reproducibility_benchmark_reference_not_upper_bound,0.6357417697739086,,0.6415250085318447,,0.6223430548690064,0.0028412855935266335,0.05330371087951226,0.9357016139213675,,0.9316565127623165,,1.0,0.010760142254067505,0.10373110552803101,0.893859005796293,,0.8915298739532228,,0.8828472565496787,0.0005968678200787227,0.024430878413981,0.9668806091855636,,0.968188551803446,,1.0,0.004968881394516308,0.070490292909849
