draw,predictor,delta_spearman,delta_utility_20
79,certificate_priority_q80,0.004268352002802733,-0.17351471657710238
80,context_holdout_router,0.0798617115320337,0.05462195303531425
80,architecture_aware_router,0.06883675877517637,0.044358559177655854
80,historical_nonnegative_router,0.06376593280692178,0.03869551547983341
80,certificate_priority_q80,0.01150151240585262,-0.24267988030355248
81,context_holdout_router,0.08998902201065284,0.06939444088564628
81,architecture_aware_router,0.07335250729239251,0.06847059788598409
81,historical_nonnegative_router,0.0679875894890053,0.06273933441997281
81,certificate_priority_q80,0.00701106890016534,-0.2368313186814347
82,context_holdout_router,0.0931915705399673,0.07693544562770116
82,architecture_aware_router,0.08417063702381233,0.06627415624602162
82,historical_nonnegative_router,0.080209448881986,0.06682802764596862
82,certificate_priority_q80,0.005292051805593556,-0.18891214513917626
83,context_holdout_router,0.09063521661075413,0.10092631094867632
83,architecture_aware_router,0.07715314043504184,0.07814395288724296
83,historical_nonnegative_router,0.07227462517076244,0.08172426009651979
83,certificate_priority_q80,0.014590088643995247,-0.2039659044742645
84,context_holdout_router,0.0853741725008198,0.03263532173349837
84,architecture_aware_router,0.06861346393100431,0.03941307428379126
84,historical_nonnegative_router,0.06280229861074182,0.04107103976843185
84,certificate_priority_q80,0.009968132282499598,-0.23023636616298188
85,context_holdout_router,0.08371838688099387,0.057479868149484026
85,architecture_aware_router,0.06367342387223085,0.05527362288377469
85,historical_nonnegative_router,0.057444529349664486,0.05284334442919003
85,certificate_priority_q80,-0.005224062349333369,-0.20387525508632703
86,context_holdout_router,0.07419674901424289,0.07238758426606962
86,architecture_aware_router,0.05611116168747621,0.07033696853255045
86,historical_nonnegative_router,0.05104052873706033,0.06548975190661843
86,certificate_priority_q80,-0.022511503327743876,-0.2144220723611926
87,context_holdout_router,0.08398399803886092,0.07911096478199475
87,architecture_aware_router,0.07007656872850987,0.07267001045386523
87,historical_nonnegative_router,0.0652912843705199,0.06022853150855356
87,certificate_priority_q80,0.008470233416779216,-0.16156661602604966
88,context_holdout_router,0.09583170962521581,0.07781382428611272
88,architecture_aware_router,0.0938023085248415,0.07686732645800354
88,historical_nonnegative_router,0.09086911371795403,0.0733925981618665
88,certificate_priority_q80,0.02599891398745202,-0.1832793090959811
89,context_holdout_router,0.08204247871326742,0.06308365767400637
89,architecture_aware_router,0.07385947765872025,0.05509956171325703
89,historical_nonnegative_router,0.06989586196952158,0.0446873075145654
89,certificate_priority_q80,0.011521183523265921,-0.21553348293580843
90,context_holdout_router,0.09565998937057418,0.07409416439719907
90,architecture_aware_router,0.08297095608616212,0.06371888847426388
90,historical_nonnegative_router,0.07755127535750961,0.06351933674850341
90,certificate_priority_q80,0.016304076045239202,-0.22493235113458415
91,context_holdout_router,0.08466358246526073,0.07626191858242115
91,architecture_aware_router,0.07700062337880209,0.06390409741972547
91,historical_nonnegative_router,0.07245537506256006,0.06053575000286793
91,certificate_priority_q80,0.0114096235173472,-0.15687042976054727
92,context_holdout_router,0.08230164127307493,0.06488351776338941
92,architecture_aware_router,0.07182192193285886,0.05490510454345565
92,historical_nonnegative_router,0.06737202848521084,0.03290762813649639
92,certificate_priority_q80,0.004173512226401388,-0.24032875897891903
93,context_holdout_router,0.0895388165923241,0.09401725075099132
93,architecture_aware_router,0.08175463772031355,0.0810616917486664
93,historical_nonnegative_router,0.07705694830515553,0.05799904149134105
93,certificate_priority_q80,-0.018885134427286454,-0.2501723640449424
94,context_holdout_router,0.08390634607782022,0.05239645686832528
94,architecture_aware_router,0.06828533066898257,0.055771637698995624
94,historical_nonnegative_router,0.0625649137983445,0.05588602456235048
