dataset,perturbation,gears_rmse,scgpt_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,triangle_certificate_rmse,triangle_mean_bound_holds,triangle_max_bound_holds,pair_mean_mse,ensemble_mean_prediction_mse,disagreement_mse_component,mse_identity_abs_error,certificate_fraction_of_pair_mean_rmse,disagreement_component_fraction_of_pair_mean_mse,gears_predicted_magnitude,scgpt_predicted_magnitude,rank__model_disagreement_rmse,rank__gears_predicted_magnitude,rank__scgpt_predicted_magnitude,rank__magnitude_mean,rank__magnitude_max,rank__gears_rmse,rank__scgpt_rmse,rank__pair_mean_rmse,rank__pair_max_rmse
Norman,OSR2+ctrl,0.08638812512843476,0.07428306640168489,0.08033559576505983,0.08638812512843476,0.09692589237768866,0.04846294618884433,True,True,0.006490441058621614,0.0041417839053187935,0.002348657153302821,4.336808689942018e-19,0.6032561995379164,0.3618640292839527,2.1773984233952066,3.577508292691628,0.5833333333333334,0.3333333333333333,0.5416666666666666,0.4375,0.5416666666666666,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.25
Norman,POU3F2+ctrl,0.08370716397583738,0.0839614089931535,0.08383428648449545,0.0839614089931535,0.09554625029425731,0.047773125147128656,True,True,0.007028203750496663,0.004745932264173447,0.0022822714863232163,4.336808689942018e-19,0.5698518726698288,0.32473041012249176,1.8270967466044248,3.027880079067709,0.5416666666666666,0.20833333333333334,0.375,0.2916666666666667,0.375,0.25,0.3333333333333333,0.2916666666666667,0.16666666666666666
Norman,PRDM1+ctrl,0.2256842474896312,0.1771546039709014,0.2014194257302663,0.2256842474896312,0.11835770348720338,0.05917885174360169,True,True,0.04115856663652401,0.037656430142832834,0.003502136493691189,1.474514954580286e-17,0.29380905803421314,0.08508888379468983,1.4177074355859154,3.2881498294818807,0.7916666666666666,0.041666666666666664,0.5,0.2708333333333333,0.5,1.0,0.9583333333333334,1.0,1.0
Norman,PTPN12+ctrl,0.07894615454151516,0.0845653223177492,0.08175573842963219,0.0845653223177492,0.08077070762030128,0.04038535381015064,True,True,0.006691894527798803,0.005060917725427753,0.0016309768023710489,1.0842021724855044e-18,0.49397576960191775,0.24372422422317133,3.032138459114854,3.739065533294784,0.20833333333333334,0.625,0.6666666666666666,0.6458333333333333,0.6666666666666666,0.20833333333333334,0.375,0.25,0.20833333333333334
Norman,PTPN13+ctrl,0.12454342269482556,0.09681235087323511,0.11067788678403034,0.12454342269482556,0.09793113007677445,0.048965565038387227,True,True,0.012441847709072189,0.010044221149543656,0.0023976265595285293,3.469446951953614e-18,0.4424150700847357,0.19270663132938515,2.763389586260897,1.4265081042727312,0.625,0.5416666666666666,0.125,0.3333333333333333,0.5416666666666666,0.7916666666666666,0.5,0.625,0.6666666666666666
Norman,S1PR2+ctrl,0.09697239233181468,0.11070785753441358,0.10384012493311412,0.11070785753441358,0.0837106018029924,0.0418553009014962,True,True,0.0108299372972077,0.009078071083652911,0.0017518662135547888,8.673617379884035e-19,0.40307444668865905,0.16176143642184107,2.4974972629683627,3.049406183952335,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.375,0.6666666666666666,0.5416666666666666,0.4166666666666667
Norman,SNAI1+ctrl,0.10553801385253575,0.11182193361519882,0.10867997373386729,0.11182193361519882,0.09327810637649622,0.04663905318824811,True,True,0.011821208602689981,0.009646007320393744,0.002175201282296236,4.336808689942018e-19,0.4291411893644419,0.18400836626817135,3.6076565991305385,4.2662520272585205,0.4583333333333333,0.7916666666666666,0.75,0.7708333333333333,0.7916666666666666,0.5,0.75,0.5833333333333334,0.4583333333333333
Norman,SPI1+ctrl,0.13999058636196973,0.12679611504730445,0.1333933507046371,0.13999058636196973,0.12516080826858952,0.06258040413429476,True,True,0.017837309530528686,0.01392100254891703,0.003916306981611657,8.673617379884035e-19,0.46914185604994557,0.21955704557959646,3.562428201337626,5.184438189175172,0.875,0.75,0.9583333333333334,0.8541666666666667,0.9583333333333334,0.875,0.8333333333333334,0.875,0.7916666666666666
Norman,STIL+ctrl,0.0893218774410803,0.06632459011596924,0.07782323377852476,0.0893218774410803,0.09321357967187308,0.04660678983593654,True,True,0.006188674521825347,0.004016481663014188,0.0021721928588111575,8.673617379884035e-19,0.5988801489356463,0.3509948456895856,2.0533698706589085,2.158728207130462,0.4166666666666667,0.2916666666666667,0.20833333333333334,0.25,0.2916666666666667,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.2916666666666667
Norman,TSC22D1+ctrl,0.07860095810548942,0.06983906756889137,0.0742200128371904,0.07860095810548942,0.09189754542886218,0.04594877271443109,True,True,0.005527802986996538,0.003416513273034092,0.002111289713962447,4.336808689942018e-19,0.6190887195778944,0.3819401159789867,1.8723596696631326,1.2066733355449875,0.375,0.25,0.041666666666666664,0.14583333333333334,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
Frangieh,APOD+ctrl,0.03911486538949053,0.04001716419194072,0.03956601479071563,0.04001716419194072,0.04060104172032373,0.020300520860161864,True,True,0.0015656730622013535,0.0011535619150074862,0.000412111147193867,2.710505431213761e-19,0.5130797470390039,0.26321660450262474,0.6789626514565473,0.763026649852923,0.08333333333333333,0.20833333333333334,0.125,0.16666666666666669,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.2916666666666667,0.2916666666666667
Frangieh,B2M+ctrl,0.03969454660934491,0.03697953422194974,0.038337040415647325,0.03969454660934491,0.045473502201328626,0.022736751100664313,True,True,0.0014715714908969037,0.0009546116402833439,0.0005169598506135598,0.0,0.5930752831766396,0.35129781584616016,0.7363635945325787,0.8077191080687428,0.5,0.5833333333333334,0.875,0.7291666666666667,0.875,0.2916666666666667,0.08333333333333333,0.125,0.25
Frangieh,BOLA2B+ctrl,0.04941278631218392,0.045809110739359685,0.0476109485257718,0.04941278631218392,0.04803505992897057,0.024017529964485286,True,True,0.0022700490389322347,0.001693207293337286,0.0005768417455949485,1.0842021724855044e-19,0.5044539272618062,0.25410981688143536,0.8365279106338948,0.7652937933979392,0.9166666666666666,0.9583333333333334,0.20833333333333334,0.5833333333333334,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334
Frangieh,CD63+ctrl,0.04438398315375789,0.03970611176438109,0.04204504745906949,0.04438398315375789,0.047148511712512504,0.023574255856256252,True,True,0.0017732566360192932,0.001217511096843061,0.0005557455391762322,0.0,0.5606904327841608,0.31340389647366623,0.8140962277246255,0.8069957442269515,0.8333333333333334,0.875,0.8333333333333334,0.8541666666666667,0.875,0.5833333333333334,0.375,0.5,0.5416666666666666
Frangieh,CDK4+ctrl,0.04242850433882728,0.04531197591093808,0.04387024012488268,0.04531197591093808,0.04674000526572592,0.02337000263286296,True,True,0.0019266765706916589,0.001380519547631637,0.0005461570230600217,1.0842021724855044e-19,0.5327074245852549,0.2834710461361745,0.7086030282211624,0.7850612586972554,0.75,0.4166666666666667,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.4583333333333333,0.7083333333333334,0.5833333333333334,0.625
Frangieh,DDR1+ctrl,0.03848419251742137,0.038483440523944486,0.03848381652068293,0.03848419251742137,0.043115879487253886,0.021557939743626943,True,True,0.0014810041341389618,0.0010162593681491115,0.0004647447659898501,2.168404344971009e-19,0.5601819593968996,0.31380382760379477,0.6945531125914951,0.784542582443939,0.20833333333333334,0.2916666666666667,0.5833333333333334,0.4375,0.5833333333333334,0.125,0.20833333333333334,0.16666666666666666,0.08333333333333333
