condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1
MAFF,k562,IFNG,0.009006088112947055,0.1807021625984493,0.0437206652328994,-3.4965075614664802,27.0,0.17782943687043096,0.20271242605099452,0.009006088112947055,2,32,0.26266138899094515,0.5238095238095238,0.7142857142857143,0.5619047619047619
MAFF,mcf7,IFNG,0.009005895920877595,0.18223677108654604,0.0437206652328994,-3.4965075614664802,27.0,0.17480267429871787,0.20418411860249064,0.009005895920877595,2,32,0.38547266569949545,0.14285714285714285,0.8095238095238095,0.2761904761904762
MAP3K7,hap1,TGFB,0.009006577435984773,0.16888160392425766,0.05124916560606329,-4.859812404361672,21.0,0.16507576686644104,0.20058546353807288,0.009006577435984773,8,128,-0.0004752531377648084,0.2631578947368421,0.42105263157894735,0.29473684210526313
MAP3K7,ht29,TGFB,0.00900669445298412,0.134188016295908,0.05124916560606329,-4.859812404361672,21.0,0.13258981286021876,0.19505780054158559,0.00900669445298412,8,128,-0.10653533955726444,1.0,0.3157894736842105,0.8631578947368421
MAP3K7,k562,TGFB,0.00900636229169148,0.17055781052117502,0.05124916560606329,-4.859812404361672,21.0,0.166887996136214,0.19877987261038554,0.00900636229169148,8,128,-0.13633885738792664,0.05263157894736842,0.2631578947368421,0.09473684210526316
MAP3K7,mcf7,TGFB,0.00900632465470782,0.1719071421967312,0.05124916560606329,-4.859812404361672,21.0,0.17024928121390784,0.20096461296173568,0.00900632465470782,8,128,-0.19409095499929507,1.0,0.3157894736842105,0.8631578947368421
MAPK1,hap1,TGFB,0.009006574591388313,0.17036283796437607,0.051667915699705615,-4.174387269895637,25.0,0.16507580576815506,0.20156880195387064,0.009006574591388313,4,64,0.48085374645190077,0.42105263157894735,0.8947368421052632,0.5157894736842106
MAPK1,ht29,TGFB,0.009006783494628658,0.13597548947006774,0.051667915699705615,-4.174387269895637,25.0,0.13258935737792873,0.19610833290302615,0.009006783494628658,4,64,0.5352565535618894,0.3157894736842105,0.9473684210526315,0.4421052631578947
MAPK1,k562,TGFB,0.009006551276050705,0.17255630080419312,0.051667915699705615,-4.174387269895637,25.0,0.1668885460705357,0.19960217181558076,0.009006551276050705,4,64,0.7084134956000272,0.5789473684210527,1.0,0.6631578947368421
MAPK1,mcf7,TGFB,0.009006485665075543,0.17407470237405934,0.051667915699705615,-4.174387269895637,25.0,0.17024805128703227,0.20193946771841256,0.009006485665075543,4,64,0.6637301120656324,0.5263157894736842,1.0,0.6210526315789474
