condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1,task_id,latent_centroid_error,linear_error,no_change_error,registered_family_rms_error,registered_family_centroid_error,family_identity_residual,family_identity_tolerance,family_lower_tightness
RUNX1,ht29,IFNG,0.0090058865237104,0.1401667450690539,0.0497824345033924,-4.174387269895637,25.0,0.1360632735787953,0.1957978644491804,0.0090058865237104,4,64,0.1929595840123905,0.7619047619047619,0.5238095238095238,0.7142857142857143,RUNX1|ht29|IFNG,0.13275127521123012,0.42865766016618684,0.0151955704072156,0.31737312164189,0.24977769052260676,-6.49488379744767e-11,1.0072569840566675e-11,0.6169327239693291
RUNX1,ht29,TGFB,0.0090066108093563,0.1368668580283996,0.0497824345033924,-4.174387269895637,25.0,0.1325897104525392,0.1961297271874817,0.0090066108093563,4,64,0.1931488369979855,0.8947368421052632,0.631578947368421,0.8421052631578947,RUNX1|ht29|TGFB,0.13205350650910636,0.4281020885017208,0.016238878195990604,0.3168522098701199,0.2488542807687781,-4.4003328758535076e-11,1.0039532294358185e-11,0.6189943483994533
RUNX1,k562,IFNG,0.0090061286973062,0.1803026759221247,0.0497824345033924,-4.174387269895637,25.0,0.1778300190365907,0.2009659276001202,0.0090061286973062,4,64,0.2622106713152989,1.0,0.6666666666666666,0.9333333333333332,RUNX1|k562|IFNG,0.17584536363560735,0.42879287175070324,0.016664523559755125,0.32776975846656936,0.258931864693483,-4.4587743219803855e-11,1.0743301460982097e-11,0.6131313899742145
RUNX1,k562,TGFB,0.0090064993779949,0.1704065607110082,0.0497824345033924,-4.174387269895637,25.0,0.166889012003398,0.1996498068169973,0.0090064993779949,4,64,0.3751735538416249,0.9473684210526316,0.7894736842105263,0.9157894736842104,RUNX1|k562|TGFB,0.1683674974199581,0.4299908705487583,0.01895211587261477,0.32658909961432,0.25845772299351044,4.983766871413664e-11,1.0666043998689222e-11,0.6113180355767248
RUNX1,mcf7,IFNG,0.0090060967967661,0.1752647748688401,0.0497824345033924,-4.174387269895637,25.0,0.1748033899837144,0.2022116858671964,0.0090060967967661,4,64,0.1986467602342261,0.6666666666666666,0.6666666666666666,0.6666666666666666,RUNX1|mcf7|IFNG,0.1707270374795442,0.4267061238804202,0.01830328995595055,0.325043802635204,0.2544875390907739,1.7782156302992291e-10,1.0565347363155344e-11,0.6221059568827965
RUNX1,mcf7,TGFB,0.0090063008422308,0.1713572437931174,0.0497824345033924,-4.174387269895637,25.0,0.1702466722009202,0.2019057941603179,0.0090063008422308,4,64,-0.0123310982527273,0.0526315789473684,0.5263157894736842,0.1473684210526315,RUNX1|mcf7|TGFB,0.1751328706153142,0.4275507893483065,0.01924971377306716,0.32676621099585945,0.25692451597269855,2.5276440662747035e-11,1.0677615664859055e-11,0.6178906734113838
SGK1,hap1,INS,0.009005846083337,0.1712854169156871,0.0415059261690773,-3.49650756146648,27.0,0.1606195962813454,0.2027981975945282,0.009005846083337,2,32,-0.0575037283283436,0.125,0.4375,0.1875,SGK1|hap1|INS,0.15874537120998278,0.4321298068879029,0.01872910612133255,0.32558974810737534,0.25471861934673223,8.312930899201376e-11,1.0600868407262413e-11,0.6228641988065546
SGK1,ht29,INS,0.0090058852878065,0.1400749582770834,0.0415059261690773,-3.49650756146648,27.0,0.1291030698644511,0.1974131042444062,0.0090058852878065,2,32,0.1670226096504852,1.0,0.625,0.925,SGK1|ht29|INS,0.13057832700594588,0.43251566282444104,0.016885627901881983,0.3195321611684452,0.2512545885576431,2.2293888957136687e-11,1.0210080202097723e-11,0.617819200178531
SGK1,k562,INS,0.00900605484879,0.1770795024282065,0.0415059261690773,-3.49650756146648,27.0,0.1650570656078001,0.2017742604735746,0.00900605484879,2,32,0.3669801893968288,1.0,0.8125,0.9625,SGK1|k562|INS,0.16923447895005186,0.4327407574128654,0.02364374962854148,0.32862286972736343,0.2593841520172056,5.049224927056173e-13,1.0799299050784768e-11,0.6139994475764067
SGK1,mcf7,INS,0.0090059799826601,0.1887755763728749,0.0415059261690773,-3.49650756146648,27.0,0.1829260910019315,0.2062131164815809,0.0090059799826601,2,32,0.1375338789072241,0.25,0.625,0.325,SGK1|mcf7|INS,0.18626155603150862,0.43250022641074803,0.02860124169333749,0.33303972794253484,0.2615178985811777,-2.993236006276767e-10,1.1091546068736122e-11,0.6191847373751234
SMAD3,hap1,TGFB,0.0090064550577294,0.1693588996245735,0.0419096494678189,-3.49650756146648,27.0,0.1650757949620751,0.2033400392929865,0.0090064550577294,2,32,-0.0485881649306344,0.3684210526315789,0.3684210526315789,0.3684210526315789,SMAD3|hap1|TGFB,0.16429427081284528,0.42922792419666833,0.024699125256388812,0.325046407890329,0.25359021228755363,-6.531369195483805e-11,1.0565516734771985e-11,0.6255723316948443
SMAD3,ht29,TGFB,0.0090064645613778,0.1369991613229799,0.0419096494678189,-3.49650756146648,27.0,0.1325891194310709,0.1978894751390304,0.0090064645613778,2,32,-0.0931779315471501,0.0526315789473684,0.3684210526315789,0.1157894736842105,SMAD3|ht29|TGFB,0.1303640274583153,0.43242054229282273,0.02066877605044363,0.31942402966579286,0.25074183234279296,-1.2948893346464985e-10,1.0203171085742227e-11,0.6195196878145904
SMAD3,k562,TGFB,0.0090063055486062,0.1697873761959299,0.0419096494678189,-3.49650756146648,27.0,0.1668881978396709,0.2014054153616563,0.0090063055486062,2,32,-0.0231683097776108,0.1052631578947368,0.3684210526315789,0.1578947368421052,SMAD3|k562|TGFB,0.16905330258549475,0.43373095829678937,0.02089644109854315,0.3292283985622663,0.2604365508555503,6.133756003112723e-11,1.083913384198745e-11,0.61174982547432
SMAD3,mcf7,TGFB,0.0090062871075026,0.1768680960116991,0.0419096494678189,-3.49650756146648,27.0,0.1702477299726582,0.203848250840197,0.0090062871075026,2,32,0.5976585819192503,0.2631578947368421,0.9473684210526316,0.4,SMAD3|mcf7|TGFB,0.17371140305624583,0.43162542800885534,0.01987541046781088,0.329057194772474,0.2583109135126004,2.120788961113007e-11,1.082786374315299e-11,0.6194918515036498
SMAD7,hap1,TGFB,0.0090065863690484,0.1695256368047593,0.040021671812755,-3.49650756146648,27.0,0.1650756119291197,0.2036324466738037,0.0090065863690484,2,32,0.3051762570367827,0.1578947368421052,0.7368421052631579,0.2736842105263158,SMAD7|hap1|TGFB,0.1639233001279349,0.4299290195297129,0.02109848340615954,0.32541583301726146,0.2538292557848793,-5.2347022549970035e-11,1.0589546443066523e-11,0.6257607221680642
SMAD7,ht29,TGFB,0.0090066711955988,0.1383017551167257,0.040021671812755,-3.49650756146648,27.0,0.1325891849196076,0.1982649247311921,0.0090066711955988,2,32,0.3406473383794856,0.1052631578947368,0.7368421052631579,0.231578947368421,SMAD7|ht29|TGFB,0.13052596525404017,0.4327870931705249,0.01771822308400384,0.31970518899958217,0.25080356369347023,-6.675131281053126e-11,1.0221140794000986e-11,0.6201492235756338
