dataset_name,score_name,feature_name,low_risk_median,high_risk_median,high_minus_low
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,ood_mean_k_distance,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,ood_nearest_distance,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,perturbation_effect_stability,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,perturbation_effect_variance,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,perturbation_support_count,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,prediction_abs_mean,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,prediction_l2_norm,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,prediction_magnitude_deviation,,,
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,prediction_norm_ratio,,,
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,context_similarity_max,0.9869811819023622,0.9824217474648534,-0.004559434437508725
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,context_similarity_mean,0.6688620229844268,0.657191665172454,-0.011670357811972787
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,historical_residual_risk,1.5557548778948112,8.029567002718009,6.473812124823198
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,model_disagreement_cosine,0.1532954801997263,0.5462635736315853,0.392968093431859
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,model_disagreement_rmse,0.7201998586661308,6.574828099259728,5.8546282405935965
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,ood_mean_k_distance,0.14291809762348168,0.16542840467404418,0.022510307050562506
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,ood_nearest_distance,0.0808247318765541,0.07743908101512255,-0.003385650861431555
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,perturbation_effect_stability,0.3210425392609756,0.3531730622170926,0.032130522956117014
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,perturbation_effect_variance,5.086578845977783,116.4391860961914,111.35260725021362
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,perturbation_support_count,7.0,6.0,-1.0
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,prediction_abs_mean,0.14022170007228846,0.3290133625268936,0.18879166245460516
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,prediction_l2_norm,76.50342178344727,399.6776580810547,323.1742362976074
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,prediction_magnitude_deviation,0.41993429531685195,1.302871551857947,0.8829372565410951
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,prediction_norm_ratio,0.7148835467172975,3.679859149184159,2.964975602466861
